,Age,MaritalStatus,Occupation,WeeklyWorkingHours,WorkLifeBalance,EducationLevel,InvestmentOutcome,Income
11307,30,0,1,55,1,0,2,0
18577,54,0,3,30,0,5,2,1
3224,53,1,0,40,1,1,3,0
20280,33,0,4,40,1,1,2,1
9998,19,1,1,40,0,1,2,0
27512,46,1,0,40,2,2,2,0
17157,32,0,6,35,1,0,2,0
24002,26,0,1,40,0,1,2,0
19022,32,1,1,40,1,1,2,0
19909,47,0,0,48,1,1,2,1
20288,67,0,5,40,1,1,2,1
17959,29,0,3,40,1,1,2,0
21831,24,1,5,40,0,1,2,0
18012,43,1,3,50,1,4,2,1
25248,50,0,6,65,2,4,2,1
21394,39,0,4,40,1,1,2,0
14679,22,1,1,20,2,1,2,0
26551,37,1,6,40,2,3,2,0
1273,27,1,4,40,2,3,0,0
21132,26,1,1,40,1,1,2,0
17614,20,1,3,18,2,1,2,0
15662,48,0,5,40,2,1,2,0
31468,36,1,6,40,0,1,2,0
16626,20,1,1,35,0,1,2,0
17563,19,0,1,40,1,0,2,0
22240,36,1,1,40,1,1,2,0
21954,47,0,1,56,2,0,2,0
22084,25,0,5,40,0,1,2,0
32514,32,1,4,45,0,1,2,0
17391,33,0,6,45,1,3,2,0
14144,39,0,1,40,1,0,2,0
19077,56,0,6,48,1,1,2,0
16355,36,1,0,36,2,1,2,0
14455,50,1,1,40,1,0,2,0
10112,21,1,0,40,1,1,2,0
25876,45,1,5,30,2,1,2,0
3945,28,1,1,40,1,1,3,0
10571,39,0,6,55,2,3,2,1
1217,33,1,0,40,1,1,0,0
10768,54,0,0,40,1,1,2,0
4938,47,0,1,50,2,1,2,1
16007,20,1,4,20,2,1,2,0
1238,30,1,4,30,2,1,0,0
23624,63,1,0,40,1,1,2,0
11687,28,1,6,40,2,3,2,0
18444,20,1,1,40,2,1,2,0
32489,27,1,5,25,1,1,2,0
25147,23,1,1,40,0,1,2,0
27868,43,0,6,40,1,1,2,1
8251,21,1,5,48,1,0,2,0
4130,66,0,1,40,2,1,3,0
29254,42,0,4,50,1,1,2,1
14232,34,0,4,60,0,1,2,0
30060,30,1,1,40,2,0,2,0
29396,29,1,4,50,1,1,2,0
4117,61,1,0,35,0,1,3,0
30838,52,0,1,40,2,2,2,1
5132,34,1,5,30,2,1,2,0
12803,22,1,5,40,1,0,2,0
10118,59,1,0,38,0,1,2,0
3124,52,0,6,40,1,4,4,0
20043,26,1,5,25,2,3,2,0
8110,53,0,3,36,1,4,2,1
13090,68,0,4,40,2,1,2,0
22522,26,1,4,40,1,3,2,0
18278,21,1,1,40,1,1,2,0
3826,40,0,0,40,0,1,3,0
18954,52,1,1,45,0,1,2,0
5676,27,0,1,50,2,1,2,0
15552,30,1,1,40,1,1,2,0
27930,46,1,6,40,2,1,2,0
27971,24,1,4,40,1,3,2,0
22664,37,0,1,40,1,1,2,0
15334,24,1,5,40,0,1,2,0
4485,37,1,4,60,1,3,2,0
9682,24,0,3,40,1,3,2,0
16572,52,0,1,40,2,1,2,0
11613,27,0,5,40,2,2,2,0
