study_condition,accuracy_over_time
interactive,6
interactive,6
interactive,8
interactive,5
interactive,8
interactive,7
interactive,5
interactive,6
interactive,6
interactive,1
interactive,4
interactive,8
interactive,4
interactive,5
static,7
interactive,8
interactive,9
interactive,4
interactive,6
interactive,5
interactive,7
interactive,8
interactive,6
interactive,4
interactive,6
interactive,4
interactive,5
interactive,6
interactive,6
interactive,7
interactive,8
interactive,5
interactive,5
interactive,4
interactive,4
interactive,4
interactive,5
interactive,5
interactive,7
interactive,6
interactive,6
interactive,6
interactive,5
interactive,6
interactive,6
interactive,6
interactive,6
interactive,5
interactive,5
interactive,5
interactive,8
interactive,4
interactive,6
interactive,6
static,5
static,2
static,7
static,8
static,8
static,3
static,7
static,5
static,7
static,9
static,7
static,5
static,5
static,6
static,7
static,5
static,6
static,7
static,7
static,7
static,4
static,6
static,6
static,5
static,6
static,6
static,2
static,3
static,5
static,5
static,4
static,4
static,5
static,3
static,4
static,3
static,4
static,4
static,6
static,2
static,7
static,4
static,5
static,8
static,3
static,3
static,7
static,6
static,5
static,4
static,4
static,5
static,9
