study_condition,subjective_understanding
interactive,4.0
interactive,5.0
interactive,-4.0
interactive,4.0
interactive,5.0
interactive,8.0
interactive,7.0
interactive,5.0
interactive,0.0
interactive,7.0
interactive,-2.0
interactive,6.0
interactive,4.0
interactive,2.0
static,4.0
interactive,-1.0
interactive,4.0
interactive,5.0
interactive,5.0
interactive,6.0
interactive,2.0
interactive,-2.0
interactive,4.0
interactive,0.0
interactive,4.0
interactive,6.0
interactive,4.0
interactive,4.0
interactive,4.0
interactive,4.0
interactive,5.0
interactive,6.0
interactive,6.0
interactive,4.0
interactive,4.0
interactive,4.0
interactive,6.0
interactive,0.0
interactive,5.0
interactive,4.0
interactive,0.0
interactive,-2.0
interactive,5.0
interactive,2.0
interactive,4.0
interactive,5.0
interactive,0.0
interactive,4.0
interactive,7.0
interactive,8.0
interactive,4.0
interactive,4.0
interactive,-2.0
interactive,5.0
static,2.0
static,-2.0
static,7.0
static,4.0
static,8.0
static,4.0
static,4.0
static,-4.0
static,4.0
static,0.0
static,4.0
static,-2.0
static,5.0
static,5.0
static,6.0
static,-3.0
static,4.0
static,2.0
static,4.0
static,7.0
static,6.0
static,4.0
static,4.0
static,5.0
static,4.0
static,2.0
static,7.0
static,6.0
static,-4.0
static,8.0
static,7.0
static,4.0
static,-4.0
static,5.0
static,2.0
static,0.0
static,4.0
static,7.0
static,4.0
static,0.0
static,5.0
static,4.0
static,4.0
static,4.0
static,-2.0
static,-6.0
static,4.0
static,3.0
static,4.0
static,4.0
static,-6.0
static,4.0
static,0.0
