anchor,ceterisParibus,counterfactualAnyChange,featureStatistics,followupWhyAreTheseFeaturesConsidered,followupWhyFeatureImportancesChange,followupWhyThisFeatureImportant,globalPdp,least3Features,modelConfidence,shapAllFeatures,top3Features,id,final_irt_score_mean,study_group
1.0,4.0,0.0,2.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,participant_0001,0.0921279327571392,interactive
0.0,11.0,1.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,8.0,participant_0002,-0.0913241791725158,interactive
2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,participant_0003,0.3856195105984807,interactive
8.0,11.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,3.0,1.0,participant_0004,0.1258594157174229,interactive
4.0,14.0,4.0,0.0,0.0,0.0,0.0,4.0,4.0,3.0,5.0,6.0,participant_0005,-0.8156819104403258,interactive
3.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,6.0,2.0,participant_0006,0.1230721416324377,interactive
4.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,1.0,participant_0007,0.2248478844761848,interactive
1.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,participant_0008,0.6236434230580926,interactive
8.0,36.0,2.0,0.0,0.0,1.0,3.0,2.0,2.0,4.0,2.0,3.0,participant_0009,0.1383750023692846,interactive
0.0,3.0,7.0,1.0,0.0,1.0,2.0,1.0,1.0,6.0,10.0,2.0,participant_0010,0.1205149929970502,interactive
0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,participant_0012,0.3867405380681157,interactive
0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,participant_0013,-0.3604164676950313,interactive
4.0,3.0,7.0,1.0,1.0,0.0,0.0,1.0,4.0,4.0,1.0,6.0,participant_0014,0.1019373719766736,interactive
0.0,8.0,0.0,2.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,participant_0015,0.1063804925791919,interactive
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,participant_0016,-1.0017596998810767,interactive
0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,participant_0017,-0.5845253167301416,interactive
2.0,4.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,participant_0018,-0.8053110560774803,interactive
1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,4.0,7.0,participant_0019,0.6461991488654166,interactive
0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,9.0,participant_0020,0.9053477820754052,interactive
0.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,participant_0021,0.1105237190285697,interactive
1.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,participant_0022,1.137663563489914,interactive
