user_id,accuracy_1,accuracy_2,accuracy_3,accuracy_4,accuracy_5,accuracy_6,accuracy_7,accuracy_8,accuracy_9,accuracy_10,accuracy_over_time
00a37cd9-4289-400b-b885-b7989f5bff00,Correct,Correct,Wrong,Correct,Correct,Correct,Correct,Correct,Correct,Wrong,8
035cd55c-563e-42d9-bce5-2b55392dde1a,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,10
0628caa8-29e7-4ebb-b2b7-303ab1681777,Correct,Wrong,Correct,Wrong,Correct,Correct,Correct,Wrong,Wrong,Wrong,5
06e381b4-4ed7-43b8-b923-2084441c5c04,Correct,Wrong,Wrong,Correct,Correct,Correct,Correct,Correct,Correct,Wrong,7
09fc0fcc-d98e-49be-8314-376a6d024ad5,Correct,Wrong,Correct,Correct,Correct,Correct,Correct,Wrong,Correct,Wrong,7
0ee9ad77-257b-4576-aecc-2a0e4d7a7f73,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,10
0f1ce75e-36db-4872-bd04-933754a0d95c,Correct,Correct,Wrong,Correct,Correct,Correct,Correct,Correct,Correct,Correct,9
113509a6-1aea-437d-839a-9fa0b6045237,Correct,Wrong,Correct,Wrong,Correct,Wrong,Correct,Wrong,Correct,Wrong,5
11bced58-f2f4-4574-83af-c1d05bdef83b,Correct,Wrong,Correct,Wrong,Correct,Wrong,Correct,Correct,Wrong,Wrong,5
13637671-9726-46ac-9dab-e8d11a2a4ee1,Correct,Correct,Wrong,Wrong,Correct,Correct,Correct,Correct,Correct,Correct,8
177fa1a4-fb99-4097-a8ec-6bd556917740,Correct,Wrong,Correct,Wrong,Correct,Wrong,Correct,Correct,Correct,Correct,7
17a94144-1178-4f27-ac07-43a7998d82bd,Correct,Wrong,Wrong,Wrong,Correct,Correct,Correct,Correct,Wrong,Wrong,5
1892903f-7460-419a-8726-64c63d4b72de,Correct,Wrong,Correct,Wrong,Correct,Wrong,Wrong,Correct,Correct,Correct,6
1ce5b8c5-839b-4975-9c9c-631e4a734619,Correct,Wrong,Correct,Correct,Correct,Wrong,Correct,Correct,Correct,Correct,8
2134ec3e-edb8-421b-ad3f-08a6ec3fc224,Wrong,Correct,Correct,Correct,Correct,Correct,Wrong,Correct,Correct,Correct,8
2901bbf2-b970-4686-b70d-8197a3b3d36a,Correct,Correct,Wrong,Correct,Correct,Correct,Correct,Correct,Correct,Wrong,8
2fb9aa30-e35e-4d3c-a3b5-f671a0681351,Correct,Wrong,Correct,Wrong,Correct,Wrong,Correct,Wrong,Correct,Wrong,5
3302abfa-9dd8-4d47-a2ec-f010a097f3dd,Correct,Correct,Correct,Correct,Correct,Correct,Wrong,Correct,Correct,Correct,9
39127651-9067-4005-b57b-5f101630f585,Correct,Correct,Wrong,Correct,Correct,Wrong,Correct,Correct,Correct,Correct,8
3bf2652a-6bb7-488f-8d70-4bb020581b20,Correct,Wrong,Wrong,Wrong,Correct,Correct,Correct,Wrong,Correct,Wrong,5
3bff4175-44ec-442c-8aea-1b13c1110b33,Correct,Correct,Correct,Correct,Correct,Wrong,Wrong,Correct,Correct,Correct,8
40079868-32ce-46f1-860c-c9cab52022ec,Correct,Correct,Wrong,Wrong,Correct,Correct,Correct,Correct,Correct,Wrong,7
46d1d76a-02d5-45ca-a92b-73fa69d7939c,Correct,Correct,Wrong,Wrong,Wrong,Correct,Correct,Correct,Correct,Correct,7
4f52d3e8-f1d1-41e0-83c6-6451ca7df19e,Correct,Wrong,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Wrong,8
5445bde9-fb53-43f9-bf75-a673cd12a042,Correct,Correct,Wrong,Correct,Correct,Correct,Correct,Correct,Correct,Correct,9
55893c02-1fd5-4067-a6c5-74cbe3f638f7,Correct,Wrong,Correct,Wrong,Correct,Correct,Correct,Correct,Correct,Correct,8
575bea0d-d57d-413d-a444-fdc88ae71ee7,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Wrong,9
578bc8db-e6fa-42bb-8e67-f323730cc107,Correct,Wrong,Wrong,Correct,Correct,Correct,Wrong,Correct,Correct,Wrong,6
580e8517-eb04-4067-a968-1062dc72b677,Correct,Correct,Wrong,Correct,Correct,Wrong,Wrong,Correct,Correct,Correct,7
5f9c036d-c9d4-4099-8bc2-5dd8d2acad0d,Correct,Wrong,Wrong,Wrong,Correct,Wrong,Correct,Wrong,Correct,Correct,5
62b963f2-35e8-4f8c-93f6-7803fce0ad1b,Correct,Wrong,Correct,Correct,Correct,Correct,Correct,Correct,Wrong,Wrong,7
66aec37a-5bfb-4039-8858-2b191b99ba32,Correct,Wrong,Wrong,Correct,Correct,Correct,Correct,Correct,Correct,Correct,8
