id,user_id,source,action,created_at,details
44583,2ea7e357-24d4-4e73-87f0-387baf554780,teaching,user_prediction,2025-02-20 12:24:31.528125,"{""datapoint_count"":10,""prediction"":""under 50k"",""true_label"":""under 50k""}"
43239,0d178eae-4cbc-449a-a888-23bc9852e8e3,teaching,user_prediction,2025-02-20 11:56:22.280637,"{""datapoint_count"":1,""prediction"":""over 50k"",""true_label"":""over 50k""}"
43240,8a70457e-a769-489e-93ce-a245888bdb61,intro-test,user_prediction,2025-02-20 11:56:33.258992,"{""datapoint_count"":4,""prediction"":""over 50k"",""true_label"":""under 50k"",""confidence_level"":""2""}"
43241,8a70457e-a769-489e-93ce-a245888bdb61,intro-test,handleNext,2025-02-20 11:56:34.151164,"{""datapoint_count_new"":5}"
43242,0d178eae-4cbc-449a-a888-23bc9852e8e3,teaching,question,2025-02-20 11:56:39.308945,"{""datapoint_count"":1,""question"":""Which <b>group of attributes</b> is most important for <b>for this person</b>?"",""question_id"":""anchor""}"
43243,8a70457e-a769-489e-93ce-a245888bdb61,intro-test,user_prediction,2025-02-20 11:56:54.193220,"{""datapoint_count"":5,""prediction"":""over 50k"",""true_label"":""over 50k"",""confidence_level"":""2""}"
43244,8a70457e-a769-489e-93ce-a245888bdb61,intro-test,handleNext,2025-02-20 11:56:55.046802,"{""datapoint_count_new"":6}"
43245,0d178eae-4cbc-449a-a888-23bc9852e8e3,teaching,question,2025-02-20 11:56:55.280342,"{""datapoint_count"":1,""question"":""What is the <b>strength</b> of each attribute for the <b>this model prediction</b>?"",""question_id"":""shapAllFeatures""}"
43246,8a70457e-a769-489e-93ce-a245888bdb61,intro-test,user_prediction,2025-02-20 11:57:11.347898,"{""datapoint_count"":6,""prediction"":""over 50k"",""true_label"":""over 50k"",""confidence_level"":""2""}"
43247,8a70457e-a769-489e-93ce-a245888bdb61,intro-test,handleNext,2025-02-20 11:57:12.244392,"{""datapoint_count_new"":7}"
43248,0d178eae-4cbc-449a-a888-23bc9852e8e3,teaching,question,2025-02-20 11:57:18.780261,"{""datapoint_count"":1,""question"":""Which attributes have the <b>biggest</b> impact on the model’s prediction <b>for this person</b>?"",""question_id"":""top3Features""}"
43249,8a70457e-a769-489e-93ce-a245888bdb61,intro-test,user_prediction,2025-02-20 11:57:31.317897,"{""datapoint_count"":7,""prediction"":""over 50k"",""true_label"":""over 50k"",""confidence_level"":""3""}"
43250,8a70457e-a769-489e-93ce-a245888bdb61,intro-test,handleNext,2025-02-20 11:57:32.213059,"{""datapoint_count_new"":8}"
43251,8a70457e-a769-489e-93ce-a245888bdb61,intro-test,user_prediction,2025-02-20 11:57:50.048181,"{""datapoint_count"":8,""prediction"":""under 50k"",""true_label"":""under 50k"",""confidence_level"":""2""}"
43252,8a70457e-a769-489e-93ce-a245888bdb61,intro-test,handleNext,2025-02-20 11:57:50.850407,"{""datapoint_count_new"":9}"
43253,0d178eae-4cbc-449a-a888-23bc9852e8e3,teaching,question,2025-02-20 11:58:13.349864,"{""datapoint_count"":1,""question"":""Does the <b>prediction of the current person change</b> if only <b>Investment Outcome</b> was different?"",""question_id"":""ceterisParibus""}"
43254,8a70457e-a769-489e-93ce-a245888bdb61,intro-test,user_prediction,2025-02-20 11:58:14.750122,"{""datapoint_count"":9,""prediction"":""under 50k"",""true_label"":""over 50k"",""confidence_level"":""1""}"
43255,8a70457e-a769-489e-93ce-a245888bdb61,intro-test,handleNext,2025-02-20 11:58:15.500186,"{""datapoint_count_new"":10}"
43256,8a70457e-a769-489e-93ce-a245888bdb61,intro-test,user_prediction,2025-02-20 11:58:23.334395,"{""datapoint_count"":10,""prediction"":""under 50k"",""true_label"":""under 50k"",""confidence_level"":""2""}"
43257,8a70457e-a769-489e-93ce-a245888bdb61,teaching,handleNext,2025-02-20 11:58:23.722627,"{""datapoint_count_new"":1}"
43258,7124039a-e6d8-461d-8c8d-03aab0ee40c7,intro-test,user_prediction,2025-02-20 11:58:24.226064,"{""datapoint_count"":1,""prediction"":""under 50k"",""true_label"":""over 50k"",""confidence_level"":""3""}"
43259,7124039a-e6d8-461d-8c8d-03aab0ee40c7,intro-test,handleNext,2025-02-20 11:58:24.751443,"{""datapoint_count_new"":2}"
43260,0d178eae-4cbc-449a-a888-23bc9852e8e3,test,handleNext,2025-02-20 11:58:29.229002,"{""datapoint_count_new"":1}"
43261,7124039a-e6d8-461d-8c8d-03aab0ee40c7,intro-test,user_prediction,2025-02-20 11:58:37.288047,"{""datapoint_count"":2,""prediction"":""under 50k"",""true_label"":""under 50k"",""confidence_level"":""2""}"
43262,7124039a-e6d8-461d-8c8d-03aab0ee40c7,intro-test,handleNext,2025-02-20 11:58:38.027511,"{""datapoint_count_new"":3}"
43263,0d178eae-4cbc-449a-a888-23bc9852e8e3,test,user_prediction,2025-02-20 11:58:44.952024,"{""datapoint_count"":1,""prediction"":""over 50k"",""true_label"":""over 50k""}"
43264,0d178eae-4cbc-449a-a888-23bc9852e8e3,teaching,handleNext,2025-02-20 11:58:45.076921,"{""datapoint_count_new"":2}"
43265,ae9d31bb-b5aa-4721-8a01-db4a51563ece,intro-test,user_prediction,2025-02-20 11:58:49.523007,"{""datapoint_count"":1,""prediction"":""over 50k"",""true_label"":""over 50k"",""confidence_level"":""1""}"
43266,ae9d31bb-b5aa-4721-8a01-db4a51563ece,intro-test,handleNext,2025-02-20 11:58:50.043649,"{""datapoint_count_new"":2}"
43267,7124039a-e6d8-461d-8c8d-03aab0ee40c7,intro-test,user_prediction,2025-02-20 11:58:55.387023,"{""datapoint_count"":3,""prediction"":""over 50k"",""true_label"":""under 50k"",""confidence_level"":""2""}"
43268,7124039a-e6d8-461d-8c8d-03aab0ee40c7,intro-test,handleNext,2025-02-20 11:58:55.916258,"{""datapoint_count_new"":4}"
43269,ae9d31bb-b5aa-4721-8a01-db4a51563ece,intro-test,user_prediction,2025-02-20 11:58:56.491388,"{""datapoint_count"":2,""prediction"":""under 50k"",""true_label"":""under 50k"",""confidence_level"":""3""}"
43270,ae9d31bb-b5aa-4721-8a01-db4a51563ece,intro-test,handleNext,2025-02-20 11:58:56.973156,"{""datapoint_count_new"":3}"
43271,0d178eae-4cbc-449a-a888-23bc9852e8e3,teaching,user_prediction,2025-02-20 11:58:58.312681,"{""datapoint_count"":2,""prediction"":""under 50k"",""true_label"":""under 50k""}"
45145,aad31a5c-b8a2-4186-983f-f193e53ee96c,teaching,handleNext,2025-02-20 12:32:15.031732,"{""datapoint_count_new"":2}"
43272,7124039a-e6d8-461d-8c8d-03aab0ee40c7,intro-test,user_prediction,2025-02-20 11:59:00.294576,"{""datapoint_count"":4,""prediction"":""under 50k"",""true_label"":""under 50k"",""confidence_level"":""3""}"
43273,7124039a-e6d8-461d-8c8d-03aab0ee40c7,intro-test,handleNext,2025-02-20 11:59:00.823537,"{""datapoint_count_new"":5}"
43274,0d178eae-4cbc-449a-a888-23bc9852e8e3,test,handleNext,2025-02-20 11:59:01.766484,"{""datapoint_count_new"":2}"
43275,ae9d31bb-b5aa-4721-8a01-db4a51563ece,intro-test,user_prediction,2025-02-20 11:59:07.786258,"{""datapoint_count"":3,""prediction"":""under 50k"",""true_label"":""under 50k"",""confidence_level"":""2""}"
43276,ae9d31bb-b5aa-4721-8a01-db4a51563ece,intro-test,handleNext,2025-02-20 11:59:08.302134,"{""datapoint_count_new"":4}"
43277,f65a5f96-8549-44ad-b8a4-4552323c4ca7,intro-test,user_prediction,2025-02-20 11:59:08.319745,"{""datapoint_count"":1,""prediction"":""over 50k"",""true_label"":""over 50k"",""confidence_level"":""3""}"
43278,f65a5f96-8549-44ad-b8a4-4552323c4ca7,intro-test,handleNext,2025-02-20 11:59:08.925637,"{""datapoint_count_new"":2}"
43279,7124039a-e6d8-461d-8c8d-03aab0ee40c7,intro-test,user_prediction,2025-02-20 11:59:09.360226,"{""datapoint_count"":5,""prediction"":""under 50k"",""true_label"":""over 50k"",""confidence_level"":""1""}"
43280,7124039a-e6d8-461d-8c8d-03aab0ee40c7,intro-test,handleNext,2025-02-20 11:59:09.849590,"{""datapoint_count_new"":6}"
43281,0d178eae-4cbc-449a-a888-23bc9852e8e3,test,user_prediction,2025-02-20 11:59:10.780611,"{""datapoint_count"":2,""prediction"":""under 50k"",""true_label"":""over 50k""}"
43282,0d178eae-4cbc-449a-a888-23bc9852e8e3,teaching,handleNext,2025-02-20 11:59:10.901689,"{""datapoint_count_new"":3}"
43283,ae9d31bb-b5aa-4721-8a01-db4a51563ece,intro-test,user_prediction,2025-02-20 11:59:14.770602,"{""datapoint_count"":4,""prediction"":""under 50k"",""true_label"":""under 50k"",""confidence_level"":""3""}"
43284,ae9d31bb-b5aa-4721-8a01-db4a51563ece,intro-test,handleNext,2025-02-20 11:59:15.293681,"{""datapoint_count_new"":5}"
43285,0d178eae-4cbc-449a-a888-23bc9852e8e3,teaching,user_prediction,2025-02-20 11:59:20.651180,"{""datapoint_count"":3,""prediction"":""under 50k"",""true_label"":""under 50k""}"
43286,8a70457e-a769-489e-93ce-a245888bdb61,teaching,user_prediction,2025-02-20 11:59:23.423302,"{""datapoint_count"":1,""prediction"":""under 50k"",""true_label"":""over 50k""}"
43287,0d178eae-4cbc-449a-a888-23bc9852e8e3,test,handleNext,2025-02-20 11:59:23.566690,"{""datapoint_count_new"":3}"
43288,0d178eae-4cbc-449a-a888-23bc9852e8e3,test,user_prediction,2025-02-20 11:59:28.642658,"{""datapoint_count"":3,""prediction"":""over 50k"",""true_label"":""under 50k""}"
43289,0d178eae-4cbc-449a-a888-23bc9852e8e3,teaching,handleNext,2025-02-20 11:59:28.763180,"{""datapoint_count_new"":4}"
43290,ae9d31bb-b5aa-4721-8a01-db4a51563ece,intro-test,user_prediction,2025-02-20 11:59:29.723103,"{""datapoint_count"":5,""prediction"":""over 50k"",""true_label"":""over 50k"",""confidence_level"":""2""}"
43291,7124039a-e6d8-461d-8c8d-03aab0ee40c7,intro-test,user_prediction,2025-02-20 11:59:30.073044,"{""datapoint_count"":6,""prediction"":""under 50k"",""true_label"":""over 50k"",""confidence_level"":""2""}"
43292,ae9d31bb-b5aa-4721-8a01-db4a51563ece,intro-test,handleNext,2025-02-20 11:59:30.240621,"{""datapoint_count_new"":6}"
43293,7124039a-e6d8-461d-8c8d-03aab0ee40c7,intro-test,handleNext,2025-02-20 11:59:30.700419,"{""datapoint_count_new"":7}"
43294,0d178eae-4cbc-449a-a888-23bc9852e8e3,teaching,user_prediction,2025-02-20 11:59:36.032362,"{""datapoint_count"":4,""prediction"":""over 50k"",""true_label"":""under 50k""}"
43295,7124039a-e6d8-461d-8c8d-03aab0ee40c7,intro-test,user_prediction,2025-02-20 11:59:37.442038,"{""datapoint_count"":7,""prediction"":""over 50k"",""true_label"":""over 50k"",""confidence_level"":""2""}"
