id,user_id,source,action,created_at,datapoint_count,question,question_id
42666,41ce6e6c-ed76-44a0-80ff-285230a92944,teaching,question,2025-02-20 10:18:11.335287,1,Which attributes have the <b>biggest</b> impact on the model’s prediction <b>for this person</b>?,top3Features
42672,41ce6e6c-ed76-44a0-80ff-285230a92944,teaching,question,2025-02-20 10:18:45.777447,1,"To <b>change the model’s prediction</b>, which attributes would need to be different?",counterfactualAnyChange
42677,41ce6e6c-ed76-44a0-80ff-285230a92944,teaching,question,2025-02-20 10:19:14.079111,2,"To <b>change the model’s prediction</b>, which attributes would need to be different?",counterfactualAnyChange
42679,41ce6e6c-ed76-44a0-80ff-285230a92944,teaching,question,2025-02-20 10:19:18.539257,2,Does the <b>prediction of the current person change</b> if only <b>Occupation</b> was different?,ceterisParibus
42680,41ce6e6c-ed76-44a0-80ff-285230a92944,teaching,question,2025-02-20 10:19:18.562661,2,Does the <b>prediction of the current person change</b> if only <b>Occupation</b> was different?,ceterisParibus
42688,41ce6e6c-ed76-44a0-80ff-285230a92944,teaching,question,2025-02-20 10:19:42.490223,3,Which <b>group of attributes</b> is most important for <b>for this person</b>?,anchor
42689,41ce6e6c-ed76-44a0-80ff-285230a92944,teaching,question,2025-02-20 10:19:45.385156,3,What is the <b>strength</b> of each attribute for the <b>this model prediction</b>?,shapAllFeatures
42700,41ce6e6c-ed76-44a0-80ff-285230a92944,teaching,question,2025-02-20 10:20:10.666597,4,What is the <b>strength</b> of each attribute for the <b>this model prediction</b>?,shapAllFeatures
42701,41ce6e6c-ed76-44a0-80ff-285230a92944,teaching,question,2025-02-20 10:20:12.366923,4,How <b>confident</b> is the model in the prediction <b>for this person</b>?,modelConfidence
42710,41ce6e6c-ed76-44a0-80ff-285230a92944,teaching,question,2025-02-20 10:20:35.569523,5,Does the <b>prediction of the current person change</b> if only <b>Occupation</b> was different?,ceterisParibus
42714,41ce6e6c-ed76-44a0-80ff-285230a92944,teaching,question,2025-02-20 10:20:44.206910,5,How are the different values of <b>Work Life Balance</b> <b>distributed</b> in the dataset?,featureStatistics
42734,41ce6e6c-ed76-44a0-80ff-285230a92944,teaching,question,2025-02-20 10:21:27.670082,7,Does the <b>prediction of the current person change</b> if only <b>Marital Status</b> was different?,ceterisParibus
42736,41ce6e6c-ed76-44a0-80ff-285230a92944,teaching,question,2025-02-20 10:21:32.917374,7,How are the different values of <b>Occupation</b> <b>distributed</b> in the dataset?,featureStatistics
42744,41ce6e6c-ed76-44a0-80ff-285230a92944,teaching,question,2025-02-20 10:21:54.287459,8,"To <b>change the model’s prediction</b>, which attributes would need to be different?",counterfactualAnyChange
42764,41ce6e6c-ed76-44a0-80ff-285230a92944,teaching,question,2025-02-20 10:22:39.457437,10,How <b>confident</b> is the model in the prediction <b>for this person</b>?,modelConfidence
42709,41ce6e6c-ed76-44a0-80ff-285230a92944,teaching,question,2025-02-20 10:20:35.567579,5,Does the <b>prediction of the current person change</b> if only <b>Occupation</b> was different?,ceterisParibus
42713,41ce6e6c-ed76-44a0-80ff-285230a92944,teaching,question,2025-02-20 10:20:44.205666,5,How are the different values of <b>Work Life Balance</b> <b>distributed</b> in the dataset?,featureStatistics
42723,41ce6e6c-ed76-44a0-80ff-285230a92944,teaching,question,2025-02-20 10:21:02.032497,6,How <b>confident</b> is the model in the prediction <b>for this person</b>?,modelConfidence
42725,41ce6e6c-ed76-44a0-80ff-285230a92944,teaching,question,2025-02-20 10:21:07.280001,6,Which attributes have the <b>biggest</b> impact on the model’s prediction <b>for this person</b>?,top3Features
42735,41ce6e6c-ed76-44a0-80ff-285230a92944,teaching,question,2025-02-20 10:21:27.671445,7,Does the <b>prediction of the current person change</b> if only <b>Marital Status</b> was different?,ceterisParibus
42737,41ce6e6c-ed76-44a0-80ff-285230a92944,teaching,question,2025-02-20 10:21:32.918765,7,How are the different values of <b>Occupation</b> <b>distributed</b> in the dataset?,featureStatistics
42745,41ce6e6c-ed76-44a0-80ff-285230a92944,teaching,question,2025-02-20 10:21:55.845618,8,Which <b>group of attributes</b> is most important for <b>for this person</b>?,anchor
42753,41ce6e6c-ed76-44a0-80ff-285230a92944,teaching,question,2025-02-20 10:22:13.804481,9,How <b>confident</b> is the model in the prediction <b>for this person</b>?,modelConfidence
42755,41ce6e6c-ed76-44a0-80ff-285230a92944,teaching,question,2025-02-20 10:22:16.671362,9,Which attributes have the <b>smallest</b> impact on the model’s prediction <b>for this person</b>?,least3Features
42763,41ce6e6c-ed76-44a0-80ff-285230a92944,teaching,question,2025-02-20 10:22:32.736018,10,"To <b>change the model’s prediction</b>, which attributes would need to be different?",counterfactualAnyChange
42678,2582cbd8-e444-40bf-9ff9-ed0876dbe5f2,teaching,question,2025-02-20 10:19:14.909246,1,What is the <b>strength</b> of each attribute for the <b>this model prediction</b>?,shapAllFeatures
42681,2582cbd8-e444-40bf-9ff9-ed0876dbe5f2,teaching,question,2025-02-20 10:19:22.889613,1,Does the <b>prediction of the current person change</b> if only <b>Marital Status</b> was different?,ceterisParibus
42682,2582cbd8-e444-40bf-9ff9-ed0876dbe5f2,teaching,question,2025-02-20 10:19:22.891223,1,Does the <b>prediction of the current person change</b> if only <b>Marital Status</b> was different?,ceterisParibus
42696,2582cbd8-e444-40bf-9ff9-ed0876dbe5f2,teaching,question,2025-02-20 10:20:05.368934,2,How <b>confident</b> is the model in the prediction <b>for this person</b>?,modelConfidence
42698,2582cbd8-e444-40bf-9ff9-ed0876dbe5f2,teaching,question,2025-02-20 10:20:10.445518,2,Does the <b>prediction of the current person change</b> if only <b>Weekly Working Hours</b> was different?,ceterisParibus
42699,2582cbd8-e444-40bf-9ff9-ed0876dbe5f2,teaching,question,2025-02-20 10:20:10.446723,2,Does the <b>prediction of the current person change</b> if only <b>Weekly Working Hours</b> was different?,ceterisParibus
42702,2582cbd8-e444-40bf-9ff9-ed0876dbe5f2,teaching,question,2025-02-20 10:20:14.399141,2,How are the values of <b>Education Level</b> <b>on average</b> associated with the model’s prediction?,globalPdp
42703,2582cbd8-e444-40bf-9ff9-ed0876dbe5f2,teaching,question,2025-02-20 10:20:14.400489,2,How are the values of <b>Education Level</b> <b>on average</b> associated with the model’s prediction?,globalPdp
42774,2582cbd8-e444-40bf-9ff9-ed0876dbe5f2,teaching,question,2025-02-20 10:23:17.124009,8,"To <b>change the model’s prediction</b>, which attributes would need to be different?",counterfactualAnyChange
42739,2582cbd8-e444-40bf-9ff9-ed0876dbe5f2,teaching,question,2025-02-20 10:21:41.114896,5,Which <b>group of attributes</b> is most important for <b>for this person</b>?,anchor
42743,2582cbd8-e444-40bf-9ff9-ed0876dbe5f2,teaching,question,2025-02-20 10:21:50.508189,5,"To <b>change the model’s prediction</b>, which attributes would need to be different?",counterfactualAnyChange
42769,2582cbd8-e444-40bf-9ff9-ed0876dbe5f2,teaching,question,2025-02-20 10:22:45.339483,7,Which <b>group of attributes</b> is most important for <b>for this person</b>?,anchor
42855,2fe68962-15d6-4ff6-ba7a-807b52c2021a,teaching,question,2025-02-20 10:29:00.292012,1,Which attributes have the <b>biggest</b> impact on the model’s prediction <b>for this person</b>?,top3Features
42858,2fe68962-15d6-4ff6-ba7a-807b52c2021a,teaching,question,2025-02-20 10:29:10.595260,1,Why are these the most important attributes?,followupWhyThisFeatureImportant
42879,2fe68962-15d6-4ff6-ba7a-807b52c2021a,teaching,question,2025-02-20 10:30:20.432522,2,Does the <b>prediction of the current person change</b> if only <b>Age</b> was different?,ceterisParibus
42885,2fe68962-15d6-4ff6-ba7a-807b52c2021a,teaching,question,2025-02-20 10:30:34.114379,2,How are the different values of <b>Age</b> <b>distributed</b> in the dataset?,featureStatistics
46787,1bf1ed01-c993-4cad-ba34-0af4b1a5fa58,teaching,question,2025-02-20 13:11:09.548082,1,How are the values of <b>Weekly Working Hours</b> <b>on average</b> associated with the model’s prediction?,globalPdp
46794,1bf1ed01-c993-4cad-ba34-0af4b1a5fa58,teaching,question,2025-02-20 13:11:18.595937,1,Why are all these attributes considered?,followupWhyAreTheseFeaturesConsidered
46821,1bf1ed01-c993-4cad-ba34-0af4b1a5fa58,teaching,question,2025-02-20 13:11:42.118851,1,Does the <b>prediction of the current person change</b> if only <b>Investment Outcome</b> was different?,ceterisParibus
46824,1bf1ed01-c993-4cad-ba34-0af4b1a5fa58,teaching,question,2025-02-20 13:11:43.536052,1,Does the <b>prediction of the current person change</b> if only <b>Education Level</b> was different?,ceterisParibus
46774,1bf1ed01-c993-4cad-ba34-0af4b1a5fa58,teaching,question,2025-02-20 13:10:42.225799,1,Does the <b>prediction of the current person change</b> if only <b>Investment Outcome</b> was different?,ceterisParibus
46808,1bf1ed01-c993-4cad-ba34-0af4b1a5fa58,teaching,question,2025-02-20 13:11:33.720497,1,How are the different values of <b>Education Level</b> <b>distributed</b> in the dataset?,featureStatistics
46912,1bf1ed01-c993-4cad-ba34-0af4b1a5fa58,teaching,question,2025-02-20 13:12:28.345036,2,Which attributes have the <b>smallest</b> impact on the model’s prediction <b>for this person</b>?,least3Features
46924,1bf1ed01-c993-4cad-ba34-0af4b1a5fa58,teaching,question,2025-02-20 13:12:33.562635,2,Which attributes have the <b>biggest</b> impact on the model’s prediction <b>for this person</b>?,top3Features
46940,1bf1ed01-c993-4cad-ba34-0af4b1a5fa58,teaching,question,2025-02-20 13:12:45.587468,2,Which <b>group of attributes</b> is most important for <b>for this person</b>?,anchor
46964,1bf1ed01-c993-4cad-ba34-0af4b1a5fa58,teaching,question,2025-02-20 13:12:54.329698,2,"To <b>change the model’s prediction</b>, which attributes would need to be different?",counterfactualAnyChange
46986,1bf1ed01-c993-4cad-ba34-0af4b1a5fa58,teaching,question,2025-02-20 13:13:09.561815,2,How <b>confident</b> is the model in the prediction <b>for this person</b>?,modelConfidence
47038,1bf1ed01-c993-4cad-ba34-0af4b1a5fa58,teaching,question,2025-02-20 13:13:47.884000,3,Which attributes have the <b>smallest</b> impact on the model’s prediction <b>for this person</b>?,least3Features
47029,1bf1ed01-c993-4cad-ba34-0af4b1a5fa58,teaching,question,2025-02-20 13:13:39.634362,3,What is the <b>strength</b> of each attribute for the <b>this model prediction</b>?,shapAllFeatures
47082,1bf1ed01-c993-4cad-ba34-0af4b1a5fa58,teaching,question,2025-02-20 13:14:20.439771,4,How <b>confident</b> is the model in the prediction <b>for this person</b>?,modelConfidence
47092,1bf1ed01-c993-4cad-ba34-0af4b1a5fa58,teaching,question,2025-02-20 13:14:26.362071,4,"To <b>change the model’s prediction</b>, which attributes would need to be different?",counterfactualAnyChange
47135,1bf1ed01-c993-4cad-ba34-0af4b1a5fa58,teaching,question,2025-02-20 13:14:57.545801,5,"To <b>change the model’s prediction</b>, which attributes would need to be different?",counterfactualAnyChange
47164,1bf1ed01-c993-4cad-ba34-0af4b1a5fa58,teaching,question,2025-02-20 13:15:11.583890,5,How <b>confident</b> is the model in the prediction <b>for this person</b>?,modelConfidence
47167,1bf1ed01-c993-4cad-ba34-0af4b1a5fa58,teaching,question,2025-02-20 13:15:15.447398,5,Which attributes have the <b>biggest</b> impact on the model’s prediction <b>for this person</b>?,top3Features
47211,1bf1ed01-c993-4cad-ba34-0af4b1a5fa58,teaching,question,2025-02-20 13:15:37.563382,6,Which attributes have the <b>biggest</b> impact on the model’s prediction <b>for this person</b>?,top3Features
47225,1bf1ed01-c993-4cad-ba34-0af4b1a5fa58,teaching,question,2025-02-20 13:15:47.470645,6,How <b>confident</b> is the model in the prediction <b>for this person</b>?,modelConfidence
47222,1bf1ed01-c993-4cad-ba34-0af4b1a5fa58,teaching,question,2025-02-20 13:15:41.864986,6,Which attributes have the <b>smallest</b> impact on the model’s prediction <b>for this person</b>?,least3Features
47255,1bf1ed01-c993-4cad-ba34-0af4b1a5fa58,teaching,question,2025-02-20 13:16:05.844460,7,Which attributes have the <b>biggest</b> impact on the model’s prediction <b>for this person</b>?,top3Features
47271,1bf1ed01-c993-4cad-ba34-0af4b1a5fa58,teaching,question,2025-02-20 13:16:13.810014,7,Which <b>group of attributes</b> is most important for <b>for this person</b>?,anchor
47279,1bf1ed01-c993-4cad-ba34-0af4b1a5fa58,teaching,question,2025-02-20 13:16:18.938664,7,"To <b>change the model’s prediction</b>, which attributes would need to be different?",counterfactualAnyChange
47336,1bf1ed01-c993-4cad-ba34-0af4b1a5fa58,teaching,question,2025-02-20 13:16:46.462660,8,Which <b>group of attributes</b> is most important for <b>for this person</b>?,anchor
47331,1bf1ed01-c993-4cad-ba34-0af4b1a5fa58,teaching,question,2025-02-20 13:16:42.545582,8,Which attributes have the <b>biggest</b> impact on the model’s prediction <b>for this person</b>?,top3Features
47343,1bf1ed01-c993-4cad-ba34-0af4b1a5fa58,teaching,question,2025-02-20 13:16:51.081630,8,"To <b>change the model’s prediction</b>, which attributes would need to be different?",counterfactualAnyChange
47401,1bf1ed01-c993-4cad-ba34-0af4b1a5fa58,teaching,question,2025-02-20 13:17:20.108042,9,"To <b>change the model’s prediction</b>, which attributes would need to be different?",counterfactualAnyChange
47407,1bf1ed01-c993-4cad-ba34-0af4b1a5fa58,teaching,question,2025-02-20 13:17:26.498514,9,Which attributes have the <b>smallest</b> impact on the model’s prediction <b>for this person</b>?,least3Features
47442,1bf1ed01-c993-4cad-ba34-0af4b1a5fa58,teaching,question,2025-02-20 13:17:49.549554,10,"To <b>change the model’s prediction</b>, which attributes would need to be different?",counterfactualAnyChange
47410,1bf1ed01-c993-4cad-ba34-0af4b1a5fa58,teaching,question,2025-02-20 13:17:27.971877,9,Which attributes have the <b>biggest</b> impact on the model’s prediction <b>for this person</b>?,top3Features
47435,1bf1ed01-c993-4cad-ba34-0af4b1a5fa58,teaching,question,2025-02-20 13:17:43.892009,10,Which <b>group of attributes</b> is most important for <b>for this person</b>?,anchor
42913,2e156a91-b1d5-4a05-9009-5f167e98df7d,teaching,question,2025-02-20 10:32:31.619239,1,Why are these the most important attributes?,followupWhyThisFeatureImportant
42920,2e156a91-b1d5-4a05-9009-5f167e98df7d,teaching,question,2025-02-20 10:33:11.797012,1,Which attributes have the <b>smallest</b> impact on the model’s prediction <b>for this person</b>?,least3Features
42926,2e156a91-b1d5-4a05-9009-5f167e98df7d,teaching,question,2025-02-20 10:33:38.242942,1,Does the <b>prediction of the current person change</b> if only <b>Investment Outcome</b> was different?,ceterisParibus
42928,2e156a91-b1d5-4a05-9009-5f167e98df7d,teaching,question,2025-02-20 10:33:39.590939,1,Does the <b>prediction of the current person change</b> if only <b>Investment Outcome</b> was different?,ceterisParibus
42937,2e156a91-b1d5-4a05-9009-5f167e98df7d,teaching,question,2025-02-20 10:34:04.309534,1,How are the values of <b>Investment Outcome</b> <b>on average</b> associated with the model’s prediction?,globalPdp
42910,2e156a91-b1d5-4a05-9009-5f167e98df7d,teaching,question,2025-02-20 10:32:20.560016,1,Which attributes have the <b>biggest</b> impact on the model’s prediction <b>for this person</b>?,top3Features
42923,2e156a91-b1d5-4a05-9009-5f167e98df7d,teaching,question,2025-02-20 10:33:20.262655,1,What is the <b>strength</b> of each attribute for the <b>this model prediction</b>?,shapAllFeatures
