user_id,accuracy_1,accuracy_2,accuracy_3,accuracy_4,accuracy_5,accuracy_6,accuracy_7,accuracy_8,accuracy_9,accuracy_10,accuracy_over_time
029c3206-0d07-4249-9e06-e4d5c2ca3e94,Correct,Wrong,Wrong,Wrong,Correct,Correct,Correct,Correct,Correct,Wrong,6
0427cbe3-1d62-4cbf-8a4b-d4c7f89417be,Correct,Correct,Correct,Correct,Wrong,Correct,Correct,Wrong,Correct,Correct,8
05e9de16-fdbe-4ec1-b487-2091bf6c1860,Correct,Wrong,Wrong,Correct,Correct,Correct,Wrong,Correct,Correct,Correct,7
0a0f08de-0d8e-4f29-b143-7b11868fcfaa,Correct,Wrong,Correct,Wrong,Wrong,Correct,Correct,Wrong,Correct,Correct,6
0d178eae-4cbc-449a-a888-23bc9852e8e3,Correct,Wrong,Wrong,Correct,Correct,Correct,Correct,Correct,Correct,Wrong,7
14a77810-eace-4777-8717-14a9385f10d3,Correct,Wrong,Wrong,Correct,Correct,Correct,Wrong,Correct,Correct,Wrong,6
15acf1a3-1a75-49d1-b9d8-42917983a6fb,Wrong,Correct,Wrong,Correct,Wrong,Correct,Wrong,Correct,Correct,Wrong,5
16324882-0c5c-4a19-a8d2-4082b2e83111,Correct,Wrong,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,9
19897709-052d-4f8a-8071-be452c05c1a1,Correct,Correct,Correct,Wrong,Correct,Correct,Correct,Correct,Correct,Correct,9
1bf1ed01-c993-4cad-ba34-0af4b1a5fa58,Correct,Wrong,Wrong,Wrong,Correct,Correct,Correct,Correct,Correct,Wrong,6
1c66f2ac-aaa8-403c-acf6-e4b8ab87cbf6,Correct,Correct,Wrong,Correct,Correct,Correct,Correct,Wrong,Wrong,Wrong,6
1fd0db1c-ac5c-499e-b4dc-8f9d5d9abc07,Correct,Correct,Wrong,Correct,Wrong,Wrong,Correct,Correct,Correct,Correct,7
2582cbd8-e444-40bf-9ff9-ed0876dbe5f2,Correct,Correct,Wrong,Wrong,Wrong,Wrong,Wrong,Correct,Correct,Wrong,4
269d26e0-9b6b-4461-8b5a-0852039d3562,Correct,Correct,Correct,Wrong,Correct,Correct,Correct,Correct,Correct,Wrong,8
2e156a91-b1d5-4a05-9009-5f167e98df7d,Correct,Correct,Wrong,Correct,Correct,Correct,Correct,Correct,Correct,Correct,9
2e82feef-f9bb-44a1-b46a-ec12e3c40246,Wrong,Wrong,Correct,Wrong,Correct,Correct,Wrong,Correct,Correct,Wrong,5
2ea7e357-24d4-4e73-87f0-387baf554780,Correct,Wrong,Correct,Correct,Wrong,Wrong,Correct,Wrong,Correct,Wrong,5
2fe272a7-2258-4b6d-be3b-506b7d13b5f4,Correct,Correct,Wrong,Correct,Correct,Correct,Wrong,Correct,Correct,Correct,8
2fe68962-15d6-4ff6-ba7a-807b52c2021a,Wrong,Wrong,Wrong,Wrong,Correct,Correct,Correct,Wrong,Correct,Wrong,4
383acbc2-ec64-4294-9a6a-306387ea3606,Correct,Correct,Wrong,Correct,Correct,Correct,Wrong,Correct,Correct,Correct,8
3ed2a7a8-fe74-49cb-ba4a-a1cad09922ee,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Wrong,9
41ce6e6c-ed76-44a0-80ff-285230a92944,Correct,Wrong,Correct,Wrong,Correct,Correct,Correct,Correct,Correct,Wrong,7
438adc04-c358-4069-ad30-03050be866d6,Correct,Wrong,Wrong,Correct,Correct,Correct,Correct,Correct,Correct,Correct,8
45570688-a576-4021-8b5f-01a31a9957d9,Correct,Wrong,Correct,Wrong,Correct,Correct,Wrong,Correct,Wrong,Wrong,5
481a05bf-4ef6-4504-b1a6-ec6257eacd6f,Correct,Wrong,Wrong,Correct,Correct,Correct,Correct,Correct,Correct,Correct,8
4c977457-d058-44de-be0c-2f9b23f673f8,Correct,Correct,Wrong,Correct,Correct,Correct,Wrong,Correct,Correct,Correct,8
53d457d8-f04f-44f8-b2c2-c256318b14f3,Correct,Correct,Wrong,Correct,Correct,Correct,Wrong,Correct,Correct,Correct,8
5591ae91-9bff-477e-8b1e-d264dba65b5f,Correct,Correct,Wrong,Correct,Correct,Correct,Correct,Wrong,Correct,Wrong,7
58f72779-0c37-4972-a64f-cd9e072b0873,Correct,Correct,Wrong,Correct,Correct,Correct,Correct,Correct,Correct,Correct,9
5ca45ba8-c1d6-488b-95d9-0ffed1f4867c,Correct,Wrong,Wrong,Wrong,Wrong,Correct,Correct,Correct,Wrong,Wrong,4
