id,user_id,source,action,created_at,datapoint_count,question,question_id
5190,2dd7574b-698b-475c-95a4-ce3abae1d33d,teaching,question,2024-04-11 09:50:05.352285,2, What is the <b>strength</b> of each attribute for the current model prediction? ,24
4035,2dd7574b-698b-475c-95a4-ce3abae1d33d,teaching,question,2024-04-11 09:46:43.882553,1, Which attributes have the <b>smallest</b> impact on the model’s prediction for the current person?,27
3880,2dd7574b-698b-475c-95a4-ce3abae1d33d,teaching,question,2024-04-11 09:46:06.902160,1, Which attributes have the <b>biggest</b> impact on the model’s prediction for the current person?,23
4116,2dd7574b-698b-475c-95a4-ce3abae1d33d,teaching,question,2024-04-11 09:46:58.431837,1, What is the <b>strength</b> of each attribute for the current model prediction? ,24
4334,2dd7574b-698b-475c-95a4-ce3abae1d33d,teaching,question,2024-04-11 09:47:45.512377,1," To <b>switch the model’s prediction</b>, which attributes would need to be different?",7
4560,2dd7574b-698b-475c-95a4-ce3abae1d33d,teaching,question,2024-04-11 09:48:28.638761,1," What happens if the <b>value</b> of Marital Status <b>is changed</b>, keeping all the other attributes the same?",25
4561,2dd7574b-698b-475c-95a4-ce3abae1d33d,teaching,question,2024-04-11 09:48:28.737396,1," What happens if the <b>value</b> of Marital Status <b>is changed</b>, keeping all the other attributes the same?",25
5509,2dd7574b-698b-475c-95a4-ce3abae1d33d,teaching,question,2024-04-11 09:51:02.086632,3," To <b>switch the model’s prediction</b>, which attributes would need to be different?",7
5074,2dd7574b-698b-475c-95a4-ce3abae1d33d,teaching,question,2024-04-11 09:49:47.590020,2,Which group of attributes <b>most definitely predicts the current outcome</b> independently of the other attributes?,11
5644,2dd7574b-698b-475c-95a4-ce3abae1d33d,teaching,question,2024-04-11 09:51:23.387928,3, What is the <b>strength</b> of each attribute for the current model prediction? ,24
5970,2dd7574b-698b-475c-95a4-ce3abae1d33d,teaching,question,2024-04-11 09:52:22.757912,4, What is the <b>strength</b> of each attribute for the current model prediction? ,24
5993,2dd7574b-698b-475c-95a4-ce3abae1d33d,teaching,question,2024-04-11 09:52:26.628937,4,Which group of attributes <b>most definitely predicts the current outcome</b> independently of the other attributes?,11
5958,2dd7574b-698b-475c-95a4-ce3abae1d33d,teaching,question,2024-04-11 09:52:20.892878,4," To <b>switch the model’s prediction</b>, which attributes would need to be different?",7
6219,2dd7574b-698b-475c-95a4-ce3abae1d33d,teaching,question,2024-04-11 09:53:06.866197,5, What is the <b>strength</b> of each attribute for the current model prediction? ,24
6248,2dd7574b-698b-475c-95a4-ce3abae1d33d,teaching,question,2024-04-11 09:53:12.189787,5," To <b>switch the model’s prediction</b>, which attributes would need to be different?",7
6748,2dd7574b-698b-475c-95a4-ce3abae1d33d,teaching,question,2024-04-11 09:54:44.009945,7, What is the <b>strength</b> of each attribute for the current model prediction? ,24
6706,2dd7574b-698b-475c-95a4-ce3abae1d33d,teaching,question,2024-04-11 09:54:35.579619,7,Which group of attributes <b>most definitely predicts the current outcome</b> independently of the other attributes?,11
7099,2dd7574b-698b-475c-95a4-ce3abae1d33d,teaching,question,2024-04-11 09:56:01.592613,9, What is the <b>strength</b> of each attribute for the current model prediction? ,24
6940,2dd7574b-698b-475c-95a4-ce3abae1d33d,teaching,question,2024-04-11 09:55:24.024119,8," To <b>switch the model’s prediction</b>, which attributes would need to be different?",7
4653,cf0da9f7-a9f9-459d-b0dd-2fe166562d74,teaching,question,2024-04-11 09:48:41.754331,1," What happens if the <b>value</b> of Age <b>is changed</b>, keeping all the other attributes the same?",25
4701,cf0da9f7-a9f9-459d-b0dd-2fe166562d74,teaching,question,2024-04-11 09:48:48.290684,1," What happens if the <b>value</b> of Education Level <b>is changed</b>, keeping all the other attributes the same?",25
4652,cf0da9f7-a9f9-459d-b0dd-2fe166562d74,teaching,question,2024-04-11 09:48:41.749236,1," What happens if the <b>value</b> of Age <b>is changed</b>, keeping all the other attributes the same?",25
4721,cf0da9f7-a9f9-459d-b0dd-2fe166562d74,teaching,question,2024-04-11 09:48:51.542506,1," What happens if the <b>value</b> of Education Level <b>is changed</b>, keeping all the other attributes the same?",25
4702,cf0da9f7-a9f9-459d-b0dd-2fe166562d74,teaching,question,2024-04-11 09:48:48.294518,1," What happens if the <b>value</b> of Education Level <b>is changed</b>, keeping all the other attributes the same?",25
4673,cf0da9f7-a9f9-459d-b0dd-2fe166562d74,teaching,question,2024-04-11 09:48:44.902714,1," What happens if the <b>value</b> of Age <b>is changed</b>, keeping all the other attributes the same?",25
4752,cf0da9f7-a9f9-459d-b0dd-2fe166562d74,teaching,question,2024-04-11 09:48:56.430399,1," What happens if the <b>value</b> of Weekly Working Hours <b>is changed</b>, keeping all the other attributes the same?",25
4753,cf0da9f7-a9f9-459d-b0dd-2fe166562d74,teaching,question,2024-04-11 09:48:56.433987,1," What happens if the <b>value</b> of Weekly Working Hours <b>is changed</b>, keeping all the other attributes the same?",25
5838,cf0da9f7-a9f9-459d-b0dd-2fe166562d74,teaching,question,2024-04-11 09:51:57.419806,7," To <b>switch the model’s prediction</b>, which attributes would need to be different?",7
1332,c2812d94-73f4-45ed-a24a-b96bd10bcec6,teaching,question,2024-04-11 09:23:41.799708,1," What happens if the <b>value</b> of Age <b>is changed</b>, keeping all the other attributes the same?",25
1335,c2812d94-73f4-45ed-a24a-b96bd10bcec6,teaching,question,2024-04-11 09:23:48.264120,1, How are the different values of Occupation <b>distributed</b> in the dataset?,13
1369,c2812d94-73f4-45ed-a24a-b96bd10bcec6,teaching,question,2024-04-11 09:24:25.683508,2, How are the different values of Occupation <b>distributed</b> in the dataset?,13
1364,c2812d94-73f4-45ed-a24a-b96bd10bcec6,teaching,question,2024-04-11 09:24:22.250019,2," What happens if the <b>value</b> of Education Level <b>is changed</b>, keeping all the other attributes the same?",25
1482,c2812d94-73f4-45ed-a24a-b96bd10bcec6,teaching,question,2024-04-11 09:26:27.123298,5," What happens if the <b>value</b> of Education Level <b>is changed</b>, keeping all the other attributes the same?",25
1483,c2812d94-73f4-45ed-a24a-b96bd10bcec6,teaching,question,2024-04-11 09:26:29.537051,5, How are the different values of Occupation <b>distributed</b> in the dataset?,13
1507,c2812d94-73f4-45ed-a24a-b96bd10bcec6,teaching,question,2024-04-11 09:26:51.260589,6," What happens if the <b>value</b> of Education Level <b>is changed</b>, keeping all the other attributes the same?",25
1512,c2812d94-73f4-45ed-a24a-b96bd10bcec6,teaching,question,2024-04-11 09:26:56.011565,6, How are the different values of Occupation <b>distributed</b> in the dataset?,13
1420,c2812d94-73f4-45ed-a24a-b96bd10bcec6,teaching,question,2024-04-11 09:25:17.182912,3," What happens if the <b>value</b> of Education Level <b>is changed</b>, keeping all the other attributes the same?",25
1424,c2812d94-73f4-45ed-a24a-b96bd10bcec6,teaching,question,2024-04-11 09:25:23.016137,3, How are the different values of Occupation <b>distributed</b> in the dataset?,13
1454,c2812d94-73f4-45ed-a24a-b96bd10bcec6,teaching,question,2024-04-11 09:25:54.215900,4," What happens if the <b>value</b> of Education Level <b>is changed</b>, keeping all the other attributes the same?",25
1462,c2812d94-73f4-45ed-a24a-b96bd10bcec6,teaching,question,2024-04-11 09:25:59.903889,4, How are the different values of Work Life Balance <b>distributed</b> in the dataset?,13
1569,c2812d94-73f4-45ed-a24a-b96bd10bcec6,teaching,question,2024-04-11 09:27:30.234443,7," What happens if the <b>value</b> of Education Level <b>is changed</b>, keeping all the other attributes the same?",25
1573,c2812d94-73f4-45ed-a24a-b96bd10bcec6,teaching,question,2024-04-11 09:27:32.756652,7, How are the different values of Occupation <b>distributed</b> in the dataset?,13
1605,c2812d94-73f4-45ed-a24a-b96bd10bcec6,teaching,question,2024-04-11 09:27:52.449797,8," What happens if the <b>value</b> of Education Level <b>is changed</b>, keeping all the other attributes the same?",25
1606,c2812d94-73f4-45ed-a24a-b96bd10bcec6,teaching,question,2024-04-11 09:27:53.912399,8, How are the different values of Occupation <b>distributed</b> in the dataset?,13
1695,c2812d94-73f4-45ed-a24a-b96bd10bcec6,teaching,question,2024-04-11 09:28:54.695051,10," What happens if the <b>value</b> of Education Level <b>is changed</b>, keeping all the other attributes the same?",25
1653,c2812d94-73f4-45ed-a24a-b96bd10bcec6,teaching,question,2024-04-11 09:28:29.968245,9," What happens if the <b>value</b> of Occupation <b>is changed</b>, keeping all the other attributes the same?",25
1665,c2812d94-73f4-45ed-a24a-b96bd10bcec6,teaching,question,2024-04-11 09:28:35.153127,9, How are the different values of Education Level <b>distributed</b> in the dataset?,13
1705,c2812d94-73f4-45ed-a24a-b96bd10bcec6,teaching,question,2024-04-11 09:28:59.010407,10, How are the different values of Occupation <b>distributed</b> in the dataset?,13
7783,64df587f-1104-4120-bde0-318980d2fd8a,teaching,question,2024-04-11 09:59:00.355787,2," To <b>switch the model’s prediction</b>, which attributes would need to be different?",7
7965,64df587f-1104-4120-bde0-318980d2fd8a,teaching,question,2024-04-11 09:59:47.692062,4,Which group of attributes <b>most definitely predicts the current outcome</b> independently of the other attributes?,11
7994,64df587f-1104-4120-bde0-318980d2fd8a,teaching,question,2024-04-11 09:59:55.349928,4, Which attributes have the <b>biggest</b> impact on the model’s prediction for the current person?,23
8254,64df587f-1104-4120-bde0-318980d2fd8a,teaching,question,2024-04-11 10:00:58.659164,9,Which group of attributes <b>most definitely predicts the current outcome</b> independently of the other attributes?,11
10136,5688a4d9-4eef-4169-8d37-0735854adb63,teaching,question,2024-04-11 10:29:12.768559,1, Which attributes have the <b>biggest</b> impact on the model’s prediction for the current person?,23
10168,5688a4d9-4eef-4169-8d37-0735854adb63,teaching,question,2024-04-11 10:30:51.137873,1, What is the <b>strength</b> of each attribute for the current model prediction? ,24
10141,5688a4d9-4eef-4169-8d37-0735854adb63,teaching,question,2024-04-11 10:29:53.423336,1, Which attributes have the <b>smallest</b> impact on the model’s prediction for the current person?,27
10177,5688a4d9-4eef-4169-8d37-0735854adb63,teaching,question,2024-04-11 10:31:15.388836,1," To <b>switch the model’s prediction</b>, which attributes would need to be different?",7
10187,5688a4d9-4eef-4169-8d37-0735854adb63,teaching,question,2024-04-11 10:31:48.584264,1,Which group of attributes <b>most definitely predicts the current outcome</b> independently of the other attributes?,11
10197,5688a4d9-4eef-4169-8d37-0735854adb63,teaching,question,2024-04-11 10:32:40.927284,1," What happens if the <b>value</b> of Age <b>is changed</b>, keeping all the other attributes the same?",25
10199,5688a4d9-4eef-4169-8d37-0735854adb63,teaching,question,2024-04-11 10:32:43.881408,1," What happens if the <b>value</b> of Age <b>is changed</b>, keeping all the other attributes the same?",25
10200,5688a4d9-4eef-4169-8d37-0735854adb63,teaching,question,2024-04-11 10:32:53.062351,1," What happens if the <b>value</b> of Age <b>is changed</b>, keeping all the other attributes the same?",25
10203,5688a4d9-4eef-4169-8d37-0735854adb63,teaching,question,2024-04-11 10:32:57.865692,1," What happens if the <b>value</b> of Investment Outcome <b>is changed</b>, keeping all the other attributes the same?",25
10206,5688a4d9-4eef-4169-8d37-0735854adb63,teaching,question,2024-04-11 10:33:05.132846,1, How are the different values of Occupation <b>distributed</b> in the dataset?,13
10221,5688a4d9-4eef-4169-8d37-0735854adb63,teaching,question,2024-04-11 10:33:59.444346,2, Which attributes have the <b>biggest</b> impact on the model’s prediction for the current person?,23
10224,5688a4d9-4eef-4169-8d37-0735854adb63,teaching,question,2024-04-11 10:34:05.403653,2, Which attributes have the <b>smallest</b> impact on the model’s prediction for the current person?,27
10225,5688a4d9-4eef-4169-8d37-0735854adb63,teaching,question,2024-04-11 10:34:09.610750,2, What is the <b>strength</b> of each attribute for the current model prediction? ,24
