user_id,accuracy_1,accuracy_2,accuracy_3,accuracy_4,accuracy_5,accuracy_6,accuracy_7,accuracy_8,accuracy_9,accuracy_10,accuracy_over_time
0510e081-07d6-4a36-9624-59f9d4c3b65d,Correct,Correct,Wrong,Correct,Wrong,Correct,Correct,Wrong,Wrong,Wrong,5
0975205a-0a20-456f-971b-f7c227662f3e,Correct,Wrong,Correct,Correct,Correct,Correct,Correct,Wrong,Correct,Wrong,7
0a8cc657-5d49-40b0-a161-3337688e5956,Correct,Wrong,Correct,Correct,Correct,Correct,Wrong,Wrong,Correct,Wrong,6
0d9cade7-b753-482f-b446-a8f69fbf4144,Wrong,Wrong,Wrong,Correct,Correct,Correct,Correct,Wrong,Correct,Wrong,5
0da6331a-3cda-4110-b629-0f45aa911f91,Wrong,Correct,Wrong,Wrong,Wrong,Correct,Wrong,Wrong,Correct,Wrong,3
106f850f-65bd-4730-81aa-655e24fe4cbf,Correct,Correct,Wrong,Wrong,Correct,Correct,Correct,Correct,Wrong,Wrong,6
107c07c5-2515-42bc-9b2b-96f75103a195,Correct,Wrong,Correct,Correct,Correct,Correct,Wrong,Correct,Correct,Correct,8
10db0f82-68bb-49fc-82f0-b8f670cdf4a0,Correct,Wrong,Correct,Correct,Correct,Correct,Wrong,Wrong,Correct,Correct,7
14ab273c-094d-4e41-9014-9e409adce968,Wrong,Wrong,Wrong,Correct,Correct,Correct,Wrong,Wrong,Correct,Wrong,4
14bd0136-4e17-4637-ba91-81d2057dba33,Correct,Correct,Wrong,Wrong,Correct,Correct,Correct,Correct,Correct,Wrong,7
1667c389-89a6-4ae3-a6e5-3f7de4ca3e29,Correct,Wrong,Correct,Wrong,Correct,Wrong,Wrong,Correct,Correct,Correct,6
17a8a686-8859-4b15-a5b7-e7c346bd989e,Wrong,Correct,Correct,Wrong,Correct,Correct,Correct,Wrong,Correct,Wrong,6
1831ac60-c444-4434-b2ca-cd896ba72f1d,Correct,Correct,Wrong,Correct,Correct,Wrong,Correct,Correct,Correct,Correct,8
18ab1d7e-3cc0-41e3-baa4-36824efa450b,Correct,Wrong,Wrong,Wrong,Wrong,Correct,Correct,Wrong,Correct,Correct,5
1b53a9fe-61f2-4b68-a33e-044f59961928,Correct,Wrong,Correct,Correct,Correct,Correct,Correct,Wrong,Wrong,Wrong,6
1b8259fa-4f9d-4093-aa30-c1036c5f9fdc,Wrong,Correct,Wrong,Wrong,Correct,Wrong,Correct,Wrong,Correct,Wrong,4
1c3c495f-88d5-4596-b612-3784fa3618f3,Correct,Wrong,Correct,Wrong,Correct,Correct,Wrong,Correct,Correct,Wrong,6
211ae0b7-d996-41b7-bb11-35a7b7ed4b74,Correct,Correct,Correct,Wrong,Correct,Correct,Correct,Correct,Correct,Wrong,8
249e3d1b-f55f-4918-b98a-dd3c8bd5dc51,Correct,Wrong,Correct,Wrong,Correct,Correct,Wrong,Wrong,Wrong,Wrong,4
24b45b13-29d0-4fb9-a926-1ada6ffe8902,Correct,Wrong,Correct,Correct,Correct,Correct,Wrong,Correct,Correct,Wrong,7
2799029f-e791-4278-afd7-5c943e27f91d,Wrong,Correct,Wrong,Wrong,Correct,Correct,Correct,Wrong,Correct,Wrong,5
27cd0c36-e896-4a2b-b7a3-8f114da43fd9,Correct,Wrong,Correct,Correct,Correct,Wrong,Correct,Wrong,Correct,Wrong,6
28389d4b-62ef-411d-a92a-4280cb409cb7,Wrong,Correct,Wrong,Wrong,Correct,Wrong,Wrong,Wrong,Wrong,Wrong,2
299e015d-4555-4d0a-987a-98d0cdf1ede9,Correct,Wrong,Correct,Wrong,Correct,Wrong,Correct,Wrong,Correct,Wrong,5
2dd7574b-698b-475c-95a4-ce3abae1d33d,Correct,Wrong,Correct,Correct,Wrong,Correct,Wrong,Correct,Correct,Wrong,6
2f25fc91-03ea-46d2-9c25-feafe6abfffb,Correct,Wrong,Correct,Wrong,Correct,Correct,Wrong,Wrong,Correct,Wrong,5
