id,user_id,created_at,completed,attention_checks,prolific_end_time,prolific_start_time
54,0a8cc657-5d49-40b0-a161-3337688e5956,2024-04-11 09:16:49.595629,True,"{'1': {'correct': 'Guess, whether the machine learning model would predict the individual to earn more or less than 50k a year', 'selected': 'Guess, whether the machine learning model would predict the individual to earn more or less than 50k a year'}, '2': {'correct': ['-2', '-1'], 'selected': '-2'}, '3': {'correct': '-2', 'selected': '-2'}, '4': {'correct': '-1', 'selected': '-1'}}",2024-04-11 09:30:58.744,2024-04-11 09:15:04.240
69,5329979c-42a2-4d02-963c-367bb0ef679d,2024-04-11 09:22:48.609174,True,"{'1': {'correct': 'Guess, whether the machine learning model would predict the individual to earn more or less than 50k a year', 'selected': 'Guess, whether the machine learning model would predict the individual to earn more or less than 50k a year'}, '2': {'correct': ['-2', '-1'], 'selected': '-2'}, '3': {'correct': '-2', 'selected': '-2'}, '4': {'correct': '-1', 'selected': '-1'}}",2024-04-11 09:49:12.637,2024-04-11 09:18:35.629
172,69ec9fdf-e02e-46cd-b6cf-21bebcad9606,2024-04-11 09:40:47.804187,True,"{'1': {'correct': 'Guess, whether the machine learning model would predict the individual to earn more or less than 50k a year', 'selected': 'Guess, whether the machine learning model would predict the individual to earn more or less than 50k a year'}, '2': {'correct': ['-2', '-1'], 'selected': '-2'}, '3': {'correct': '-2', 'selected': '-2'}, '4': {'correct': '-1', 'selected': '-1'}}",2024-04-11 10:49:30.903,2024-04-11 09:35:58.034
107,1b8259fa-4f9d-4093-aa30-c1036c5f9fdc,2024-04-11 09:34:39.206236,True,"{'1': {'correct': 'Guess, whether the machine learning model would predict the individual to earn more or less than 50k a year', 'selected': 'Guess, whether the machine learning model would predict the individual to earn more or less than 50k a year'}, '2': {'correct': ['-2', '-1'], 'selected': '-2'}, '3': {'correct': '-2', 'selected': '-2'}, '4': {'correct': '-1', 'selected': '1'}}",2024-04-11 10:34:37.479,2024-04-11 09:30:54.435
81,e6e03c85-c9c9-4ee6-97c7-9004998451da,2024-04-11 09:26:41.818048,True,"{'1': {'correct': 'Guess, whether the machine learning model would predict the individual to earn more or less than 50k a year', 'selected': 'Guess, whether the machine learning model would predict the individual to earn more or less than 50k a year'}, '2': {'correct': ['-2', '-1'], 'selected': '-2'}, '3': {'correct': '-2', 'selected': '-2'}, '4': {'correct': '-1', 'selected': '-1'}}",2024-04-11 10:16:12.615,2024-04-11 09:21:37.839
102,e13c0b03-d9c9-4554-bdf4-4ab6128c19b9,2024-04-11 09:34:04.442710,True,"{'1': {'correct': 'Guess, whether the machine learning model would predict the individual to earn more or less than 50k a year', 'selected': 'Guess, whether the machine learning model would predict the individual to earn more or less than 50k a year'}, '2': {'correct': ['-2', '-1'], 'selected': '-2'}, '3': {'correct': '-2', 'selected': '-2'}, '4': {'correct': '-1', 'selected': '-1'}}",2024-04-11 10:17:16.032,2024-04-11 09:28:13.347
136,211ae0b7-d996-41b7-bb11-35a7b7ed4b74,2024-04-11 09:37:03.820811,True,"{'1': {'correct': 'Guess, whether the machine learning model would predict the individual to earn more or less than 50k a year', 'selected': 'Guess, whether the machine learning model would predict the individual to earn more or less than 50k a year'}, '2': {'correct': ['-2', '-1'], 'selected': '-2'}, '3': {'correct': '-2', 'selected': '-2'}, '4': {'correct': '-1', 'selected': '1'}}",2024-04-11 10:06:28.275,2024-04-11 09:32:20.955
123,69cdc232-c8c6-4b2a-b132-4c035061ed67,2024-04-11 09:36:04.667314,True,"{'1': {'correct': 'Guess, whether the machine learning model would predict the individual to earn more or less than 50k a year', 'selected': 'Guess, whether the machine learning model would predict the individual to earn more or less than 50k a year'}, '2': {'correct': ['-2', '-1'], 'selected': '-2'}, '3': {'correct': '-2', 'selected': '-2'}, '4': {'correct': '-1', 'selected': '-1'}}",2024-04-11 09:53:23.874,2024-04-11 09:33:07.171
98,4cc96efc-b412-4b00-932f-7c4d627cd3cf,2024-04-11 09:32:50.173365,True,"{'1': {'correct': 'Guess, whether the machine learning model would predict the individual to earn more or less than 50k a year', 'selected': 'Guess, whether the machine learning model would predict the individual to earn more or less than 50k a year'}, '2': {'correct': ['-2', '-1'], 'selected': '-2'}, '3': {'correct': '-2', 'selected': '-2'}, '4': {'correct': '-1', 'selected': '-1'}}",2024-04-11 09:47:55.933,2024-04-11 09:30:44.564
82,662f5ec4-d6fe-438c-8709-7b0c01c2181e,2024-04-11 09:26:42.144320,True,"{'1': {'correct': 'Guess, whether the machine learning model would predict the individual to earn more or less than 50k a year', 'selected': 'Guess, whether the machine learning model would predict the individual to earn more or less than 50k a year'}, '2': {'correct': ['-2', '-1'], 'selected': '-2'}, '3': {'correct': '-2', 'selected': '2'}, '4': {'correct': '-1', 'selected': '-1'}}",2024-04-11 09:53:09.138,2024-04-11 09:22:56.381
