Case id,Activity,Timestamp
cf0da9f7-a9f9-459d-b0dd-2fe166562d74_1,Ceteris Paribus,2024-04-11 09:48:41
cf0da9f7-a9f9-459d-b0dd-2fe166562d74_1,Ceteris Paribus,2024-04-11 09:48:41
cf0da9f7-a9f9-459d-b0dd-2fe166562d74_1,Ceteris Paribus,2024-04-11 09:48:44
cf0da9f7-a9f9-459d-b0dd-2fe166562d74_1,Ceteris Paribus,2024-04-11 09:48:48
cf0da9f7-a9f9-459d-b0dd-2fe166562d74_1,Ceteris Paribus,2024-04-11 09:48:48
cf0da9f7-a9f9-459d-b0dd-2fe166562d74_1,Ceteris Paribus,2024-04-11 09:48:51
cf0da9f7-a9f9-459d-b0dd-2fe166562d74_1,Ceteris Paribus,2024-04-11 09:48:56
cf0da9f7-a9f9-459d-b0dd-2fe166562d74_1,Ceteris Paribus,2024-04-11 09:48:56
cf0da9f7-a9f9-459d-b0dd-2fe166562d74_7,Counterfactuals,2024-04-11 09:51:57
64df587f-1104-4120-bde0-318980d2fd8a_2,Counterfactuals,2024-04-11 09:59:00
64df587f-1104-4120-bde0-318980d2fd8a_4,Anchors,2024-04-11 09:59:47
64df587f-1104-4120-bde0-318980d2fd8a_4,Most Important Features,2024-04-11 09:59:55
64df587f-1104-4120-bde0-318980d2fd8a_9,Anchors,2024-04-11 10:00:58
dbc46986-0448-48e4-a698-1117d86fa8cd_1,Most Important Features,2024-04-11 09:57:49
dbc46986-0448-48e4-a698-1117d86fa8cd_1,Least Important Features,2024-04-11 09:57:58
dbc46986-0448-48e4-a698-1117d86fa8cd_1,Feature Attributions,2024-04-11 09:58:07
dbc46986-0448-48e4-a698-1117d86fa8cd_1,Counterfactuals,2024-04-11 09:58:16
dbc46986-0448-48e4-a698-1117d86fa8cd_3,Ceteris Paribus,2024-04-11 10:00:53
dbc46986-0448-48e4-a698-1117d86fa8cd_3,Ceteris Paribus,2024-04-11 10:00:53
27cd0c36-e896-4a2b-b7a3-8f114da43fd9_1,Most Important Features,2024-04-11 09:44:53
27cd0c36-e896-4a2b-b7a3-8f114da43fd9_1,Least Important Features,2024-04-11 09:45:11
27cd0c36-e896-4a2b-b7a3-8f114da43fd9_1,Counterfactuals,2024-04-11 09:45:22
27cd0c36-e896-4a2b-b7a3-8f114da43fd9_1,Ceteris Paribus,2024-04-11 09:45:40
27cd0c36-e896-4a2b-b7a3-8f114da43fd9_2,Most Important Features,2024-04-11 09:46:23
27cd0c36-e896-4a2b-b7a3-8f114da43fd9_2,Feature Attributions,2024-04-11 09:46:37
27cd0c36-e896-4a2b-b7a3-8f114da43fd9_2,Ceteris Paribus,2024-04-11 09:46:49
27cd0c36-e896-4a2b-b7a3-8f114da43fd9_3,Anchors,2024-04-11 09:47:40
27cd0c36-e896-4a2b-b7a3-8f114da43fd9_3,Counterfactuals,2024-04-11 09:47:49
27cd0c36-e896-4a2b-b7a3-8f114da43fd9_3,Least Important Features,2024-04-11 09:48:08
27cd0c36-e896-4a2b-b7a3-8f114da43fd9_4,Most Important Features,2024-04-11 09:48:47
27cd0c36-e896-4a2b-b7a3-8f114da43fd9_4,Feature Attributions,2024-04-11 09:48:55
27cd0c36-e896-4a2b-b7a3-8f114da43fd9_4,Anchors,2024-04-11 09:49:05
27cd0c36-e896-4a2b-b7a3-8f114da43fd9_4,Ceteris Paribus,2024-04-11 09:49:16
27cd0c36-e896-4a2b-b7a3-8f114da43fd9_4,Ceteris Paribus,2024-04-11 09:49:22
27cd0c36-e896-4a2b-b7a3-8f114da43fd9_4,Ceteris Paribus,2024-04-11 09:49:26
27cd0c36-e896-4a2b-b7a3-8f114da43fd9_5,Most Important Features,2024-04-11 09:49:51
27cd0c36-e896-4a2b-b7a3-8f114da43fd9_5,Counterfactuals,2024-04-11 09:49:55
27cd0c36-e896-4a2b-b7a3-8f114da43fd9_6,Most Important Features,2024-04-11 09:50:18
27cd0c36-e896-4a2b-b7a3-8f114da43fd9_6,Counterfactuals,2024-04-11 09:50:22
27cd0c36-e896-4a2b-b7a3-8f114da43fd9_7,Feature Attributions,2024-04-11 09:50:46
27cd0c36-e896-4a2b-b7a3-8f114da43fd9_7,Counterfactuals,2024-04-11 09:50:51
27cd0c36-e896-4a2b-b7a3-8f114da43fd9_7,Anchors,2024-04-11 09:51:05
27cd0c36-e896-4a2b-b7a3-8f114da43fd9_8,Most Important Features,2024-04-11 09:51:23
27cd0c36-e896-4a2b-b7a3-8f114da43fd9_8,Least Important Features,2024-04-11 09:51:29
27cd0c36-e896-4a2b-b7a3-8f114da43fd9_9,Most Important Features,2024-04-11 09:51:56
27cd0c36-e896-4a2b-b7a3-8f114da43fd9_9,Anchors,2024-04-11 09:52:33
27cd0c36-e896-4a2b-b7a3-8f114da43fd9_10,Anchors,2024-04-11 09:52:49
27cd0c36-e896-4a2b-b7a3-8f114da43fd9_10,Counterfactuals,2024-04-11 09:52:53
a70b3056-310b-4bdf-9f47-303f94cb0d33_1,Most Important Features,2024-04-11 09:46:29
a70b3056-310b-4bdf-9f47-303f94cb0d33_1,Least Important Features,2024-04-11 09:46:51
a70b3056-310b-4bdf-9f47-303f94cb0d33_1,Feature Attributions,2024-04-11 09:47:01
a70b3056-310b-4bdf-9f47-303f94cb0d33_1,Counterfactuals,2024-04-11 09:47:17
a70b3056-310b-4bdf-9f47-303f94cb0d33_1,Anchors,2024-04-11 09:47:42
a70b3056-310b-4bdf-9f47-303f94cb0d33_1,Ceteris Paribus,2024-04-11 09:48:21
a70b3056-310b-4bdf-9f47-303f94cb0d33_1,Ceteris Paribus,2024-04-11 09:48:21
a70b3056-310b-4bdf-9f47-303f94cb0d33_1,Ceteris Paribus,2024-04-11 09:48:26
a70b3056-310b-4bdf-9f47-303f94cb0d33_1,Ceteris Paribus,2024-04-11 09:48:30
a70b3056-310b-4bdf-9f47-303f94cb0d33_1,Ceteris Paribus,2024-04-11 09:48:30
a70b3056-310b-4bdf-9f47-303f94cb0d33_1,Ceteris Paribus,2024-04-11 09:48:34
a70b3056-310b-4bdf-9f47-303f94cb0d33_1,Ceteris Paribus,2024-04-11 09:48:37
a70b3056-310b-4bdf-9f47-303f94cb0d33_1,Ceteris Paribus,2024-04-11 09:48:37
a70b3056-310b-4bdf-9f47-303f94cb0d33_1,Ceteris Paribus,2024-04-11 09:48:40
a70b3056-310b-4bdf-9f47-303f94cb0d33_1,Ceteris Paribus,2024-04-11 09:48:40
a70b3056-310b-4bdf-9f47-303f94cb0d33_1,Ceteris Paribus,2024-04-11 09:48:42
a70b3056-310b-4bdf-9f47-303f94cb0d33_1,Ceteris Paribus,2024-04-11 09:48:45
a70b3056-310b-4bdf-9f47-303f94cb0d33_1,Ceteris Paribus,2024-04-11 09:48:45
a70b3056-310b-4bdf-9f47-303f94cb0d33_1,Ceteris Paribus,2024-04-11 09:48:49
a70b3056-310b-4bdf-9f47-303f94cb0d33_1,Ceteris Paribus,2024-04-11 09:48:50
a70b3056-310b-4bdf-9f47-303f94cb0d33_1,Ceteris Paribus,2024-04-11 09:48:50
a70b3056-310b-4bdf-9f47-303f94cb0d33_1,Ceteris Paribus,2024-04-11 09:49:00
a70b3056-310b-4bdf-9f47-303f94cb0d33_1,Ceteris Paribus,2024-04-11 09:49:01
a70b3056-310b-4bdf-9f47-303f94cb0d33_1,Ceteris Paribus,2024-04-11 09:49:01
a70b3056-310b-4bdf-9f47-303f94cb0d33_1,Ceteris Paribus,2024-04-11 09:49:02
a70b3056-310b-4bdf-9f47-303f94cb0d33_1,Ceteris Paribus,2024-04-11 09:49:03
a70b3056-310b-4bdf-9f47-303f94cb0d33_1,Ceteris Paribus,2024-04-11 09:49:03
a70b3056-310b-4bdf-9f47-303f94cb0d33_1,Ceteris Paribus,2024-04-11 09:49:03
a70b3056-310b-4bdf-9f47-303f94cb0d33_1,Ceteris Paribus,2024-04-11 09:49:06
a70b3056-310b-4bdf-9f47-303f94cb0d33_1,Ceteris Paribus,2024-04-11 09:49:06
a70b3056-310b-4bdf-9f47-303f94cb0d33_1,Ceteris Paribus,2024-04-11 09:49:09
a70b3056-310b-4bdf-9f47-303f94cb0d33_1,Ceteris Paribus,2024-04-11 09:49:10
a70b3056-310b-4bdf-9f47-303f94cb0d33_1,Ceteris Paribus,2024-04-11 09:49:10
a70b3056-310b-4bdf-9f47-303f94cb0d33_1,Feature Ranges,2024-04-11 09:49:14
a70b3056-310b-4bdf-9f47-303f94cb0d33_1,Feature Ranges,2024-04-11 09:49:14
a70b3056-310b-4bdf-9f47-303f94cb0d33_1,Feature Ranges,2024-04-11 09:49:17
a70b3056-310b-4bdf-9f47-303f94cb0d33_1,Feature Ranges,2024-04-11 09:49:18
a70b3056-310b-4bdf-9f47-303f94cb0d33_1,Feature Ranges,2024-04-11 09:49:18
