user_id,accuracy_1,accuracy_2,accuracy_3,accuracy_4,accuracy_5,accuracy_6,accuracy_7,accuracy_8,accuracy_9,accuracy_10
participant_0001,Correct,['Correct' 'Wrong'],Correct,['Correct' 'Wrong'],Correct,Wrong,Correct,,Wrong,Wrong
participant_0002,Correct,Correct,Wrong,Correct,Correct,Correct,Correct,Correct,Correct,Wrong
participant_0003,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct
participant_0004,Correct,Wrong,Wrong,Wrong,Correct,Correct,Correct,Wrong,Correct,Wrong
participant_0005,Correct,Wrong,Correct,Wrong,Correct,Correct,Correct,Wrong,Wrong,Wrong
participant_0006,Correct,Wrong,Wrong,Correct,Correct,Correct,Correct,Correct,Correct,Wrong
participant_0007,Correct,Wrong,Correct,Correct,Correct,Correct,Correct,Wrong,Correct,Wrong
participant_0008,Correct,Wrong,,Wrong,Correct,,,Correct,Correct,Wrong
participant_0009,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct
participant_0010,Correct,Correct,Wrong,Correct,Correct,Correct,Correct,Correct,Correct,Correct
participant_0011,Correct,Wrong,Correct,Wrong,Correct,Wrong,Correct,Wrong,Correct,Wrong
participant_0012,Correct,Wrong,Correct,Wrong,Correct,Wrong,Correct,Correct,Wrong,Wrong
participant_0013,Correct,Correct,Wrong,Wrong,Correct,Correct,Correct,Correct,Correct,Correct
participant_0015,Correct,Correct,Wrong,Correct,Correct,Correct,Wrong,Correct,Correct,Correct
participant_0016,Wrong,Correct,Correct,Wrong,Correct,Correct,Correct,Wrong,,Correct
participant_0017,Correct,Wrong,Correct,Wrong,Correct,Wrong,Correct,Correct,Correct,Correct
participant_0018,Correct,Wrong,Wrong,Wrong,Correct,Correct,Correct,Correct,Wrong,Wrong
participant_0019,Correct,Wrong,Correct,Wrong,Correct,Wrong,Wrong,Correct,Correct,Correct
participant_0020,Correct,Wrong,Correct,Correct,Correct,Wrong,Correct,Correct,Correct,Correct
participant_0022,Correct,Wrong,Wrong,Correct,Correct,Correct,Correct,Wrong,Wrong,Wrong
participant_0023,Correct,Correct,Wrong,Correct,Correct,Wrong,Correct,Correct,Correct,Correct
participant_0024,Wrong,Correct,Correct,Correct,Correct,Correct,Wrong,Correct,Correct,Correct
participant_0025,Correct,Correct,Wrong,Correct,Correct,,Wrong,,Correct,Wrong
participant_0026,Correct,Correct,Wrong,Correct,Correct,Correct,Correct,Correct,Correct,Wrong
participant_0027,Correct,Wrong,Correct,Wrong,Correct,,Correct,Correct,Correct,Correct
participant_0028,Correct,Wrong,Correct,Wrong,Correct,Wrong,Correct,Correct,Correct,
participant_0029,Correct,Wrong,Correct,Wrong,Correct,Wrong,Wrong,,,Wrong
participant_0030,Correct,Wrong,Correct,Wrong,Correct,Wrong,Correct,Wrong,Correct,Wrong
participant_0031,Correct,Correct,Correct,Correct,Correct,Correct,Wrong,Correct,Correct,Correct
participant_0032,Correct,Wrong,,,,,,,,
participant_0033,Correct,Correct,Wrong,Correct,Correct,Wrong,Correct,Correct,Correct,Correct
participant_0034,Correct,Wrong,Wrong,Wrong,Correct,Correct,Correct,Wrong,Correct,Wrong
participant_0035,Correct,Correct,Correct,Correct,Correct,Wrong,Wrong,Correct,Correct,Correct
participant_0036,Correct,,,Wrong,Wrong,Correct,Wrong,Wrong,Correct,Wrong
participant_0037,Correct,Correct,Wrong,Correct,,Correct,Wrong,Correct,Correct,Correct
participant_0038,Correct,Correct,Wrong,Wrong,Correct,Correct,Correct,Correct,Correct,Wrong
participant_0039,Correct,Correct,Wrong,Wrong,Wrong,Correct,Correct,Correct,Correct,Correct
participant_0041,Correct,Correct,Wrong,Correct,Wrong,Correct,Correct,Correct,Correct,Wrong
participant_0042,Correct,Wrong,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Wrong
participant_0043,Wrong,Wrong,Wrong,,Correct,Correct,Wrong,Correct,Correct,Wrong
participant_0044,Correct,Wrong,,Wrong,Correct,Correct,Correct,Correct,Correct,Correct
participant_0045,Wrong,Wrong,Correct,Wrong,,,,,Correct,Wrong
participant_0046,Correct,Correct,Wrong,Correct,Correct,Correct,Correct,Correct,Correct,Correct
participant_0047,Wrong,Wrong,Correct,Wrong,,,,Correct,Correct,Wrong
participant_0048,Correct,Wrong,Correct,Wrong,Correct,Correct,Correct,Correct,Correct,Correct
participant_0049,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Wrong
participant_0050,['Correct' 'Wrong'],Wrong,['Wrong' 'Correct'],Correct,Correct,Correct,['Wrong' 'Correct'],Correct,Correct,Wrong
participant_0051,Correct,Correct,Wrong,Correct,Correct,Wrong,Wrong,Correct,Correct,Correct
participant_0052,Wrong,Wrong,Wrong,Wrong,Correct,Correct,Correct,,Correct,Wrong
participant_0053,Correct,Wrong,Wrong,Wrong,Correct,Wrong,Correct,Wrong,Correct,Correct
participant_0054,Correct,Wrong,Correct,Correct,Correct,Correct,Correct,Correct,Wrong,Wrong
participant_0055,Correct,Wrong,Wrong,Correct,Correct,Correct,Correct,Correct,Correct,Correct
participant_0056,Correct,Wrong,Correct,Correct,Correct,Correct,Correct,Correct,Wrong,
participant_0057,Correct,Correct,,Correct,Correct,Correct,Wrong,Correct,Correct,Wrong
participant_0058,Correct,Correct,Correct,Correct,Correct,Wrong,Correct,Correct,Correct,Correct
participant_0060,Correct,Wrong,Correct,Wrong,Wrong,Wrong,Correct,Correct,Correct,Correct
participant_0061,Wrong,Wrong,Correct,Wrong,Correct,Wrong,Correct,Wrong,Correct,Wrong
participant_0062,Correct,Wrong,Correct,Wrong,Correct,Correct,Correct,Correct,Correct,Wrong
participant_0063,Wrong,Wrong,Wrong,Wrong,Correct,Wrong,Wrong,Correct,Correct,Wrong
participant_0064,Correct,Wrong,Correct,Wrong,Correct,Correct,Correct,Correct,Correct,Wrong
participant_0065,Correct,Correct,Wrong,Wrong,Correct,Correct,Correct,Correct,Correct,Correct
participant_0067,Correct,Wrong,Wrong,Wrong,Correct,Correct,Correct,Wrong,Correct,Wrong
participant_0069,Correct,Wrong,Correct,Wrong,,,Correct,Correct,Correct,Wrong
participant_0070,Wrong,Wrong,Wrong,Correct,Wrong,Correct,Wrong,Correct,Wrong,Wrong
participant_0071,Correct,Wrong,Correct,Wrong,Correct,Correct,Correct,Correct,Correct,Correct
participant_0072,Correct,Wrong,Wrong,Correct,Correct,Correct,Wrong,Correct,Correct,Wrong
participant_0074,Correct,Wrong,Correct,Wrong,Correct,Wrong,Correct,Wrong,Wrong,Wrong
participant_0075,Correct,Correct,Correct,Wrong,Correct,Correct,Correct,Correct,Correct,Wrong
participant_0076,Wrong,Correct,Correct,Correct,Correct,Correct,Wrong,Wrong,Correct,Correct
participant_0077,Correct,Wrong,Wrong,Correct,Wrong,Wrong,Correct,Correct,Correct,Wrong
participant_0078,Correct,Wrong,Correct,Wrong,Correct,Wrong,Correct,Wrong,Correct,Wrong
participant_0081,Wrong,Wrong,Correct,Wrong,Wrong,Correct,Wrong,Wrong,Correct,Correct
participant_0082,Correct,Correct,Wrong,Correct,Correct,Correct,Wrong,Correct,Correct,Correct
participant_0083,Correct,Wrong,,Correct,Correct,Wrong,Correct,Correct,Correct,Wrong
participant_0084,Correct,Correct,Wrong,Correct,Correct,Correct,Correct,Correct,Correct,Correct
participant_0085,Correct,Correct,Wrong,Correct,Correct,Wrong,Correct,Correct,Wrong,Wrong
participant_0086,Wrong,Correct,Correct,Wrong,Wrong,Correct,Wrong,Wrong,Wrong,Wrong
participant_0087,Wrong,Wrong,Wrong,Wrong,Correct,Wrong,Correct,Wrong,Correct,Wrong
participant_0088,Correct,Wrong,Correct,Wrong,Correct,Wrong,Correct,Wrong,Correct,Wrong
participant_0089,Wrong,Wrong,Correct,Correct,Wrong,Correct,Wrong,Wrong,Wrong,Wrong
participant_0090,Correct,Wrong,Correct,Wrong,Correct,Wrong,Correct,Wrong,Correct,Correct
participant_0091,Correct,Correct,Wrong,Correct,Correct,Correct,Correct,Correct,Correct,Correct
participant_0092,Correct,Correct,Wrong,Correct,Correct,Wrong,Correct,Correct,Correct,Correct
participant_0093,Correct,Correct,Wrong,Wrong,Wrong,Wrong,Correct,Correct,Correct,Wrong
participant_0095,Correct,Correct,Correct,Wrong,Correct,Wrong,Wrong,Correct,Correct,Correct
participant_0096,Correct,Wrong,Correct,Wrong,Correct,Wrong,Correct,Correct,Correct,Correct
participant_0097,Correct,Correct,Wrong,Correct,Correct,Wrong,Correct,Correct,Correct,Correct
participant_0098,Correct,Wrong,Correct,Wrong,Correct,Wrong,Correct,Correct,Correct,Wrong
participant_0099,Correct,Wrong,Wrong,Correct,Correct,Wrong,Correct,Correct,Correct,Wrong
participant_0100,Correct,Wrong,Correct,Wrong,Correct,Correct,Correct,Correct,Correct,Wrong
participant_0101,Correct,Correct,Wrong,Correct,Correct,Wrong,Wrong,Correct,Correct,Wrong
participant_0102,Correct,Correct,Wrong,Correct,Correct,Correct,,,Correct,Correct
participant_0103,Correct,Correct,Correct,Correct,Correct,Correct,,,Correct,Wrong
participant_0104,Correct,Wrong,Correct,Wrong,Correct,Correct,Wrong,Wrong,Correct,Wrong
participant_0105,Correct,Correct,Wrong,Wrong,Correct,Correct,Correct,Correct,Correct,Correct
participant_0106,Correct,Correct,Wrong,Correct,Correct,Correct,Wrong,Correct,Correct,Correct
participant_0107,Correct,Wrong,Correct,Wrong,Correct,Wrong,Correct,Correct,Correct,Wrong
participant_0108,Correct,Wrong,Wrong,Correct,Correct,Correct,Correct,,Correct,Correct
participant_0109,Correct,Correct,,Correct,Correct,Correct,Correct,Correct,Correct,Correct
participant_0111,Correct,Wrong,Correct,Correct,Correct,Wrong,Wrong,Correct,Correct,Wrong
participant_0112,Correct,Wrong,Correct,Wrong,Wrong,Correct,Correct,Correct,Correct,Wrong
participant_0114,Wrong,Wrong,Correct,Wrong,Correct,Correct,Wrong,Wrong,Correct,Correct
participant_0115,Correct,Wrong,Correct,Wrong,Correct,Wrong,Correct,Correct,Wrong,Wrong
participant_0116,Correct,Wrong,,Wrong,Correct,Correct,Correct,Correct,Wrong,Correct
participant_0117,Correct,Correct,Correct,Correct,Correct,Correct,Wrong,Correct,Correct,Correct
participant_0118,Wrong,Wrong,Correct,Wrong,Correct,Correct,Correct,Wrong,Correct,Wrong
participant_0119,Correct,Correct,Wrong,Correct,Correct,Correct,Correct,Correct,Correct,Correct
participant_0120,Correct,Wrong,Correct,Correct,Correct,Correct,Correct,Wrong,Correct,Wrong
participant_0122,Correct,Correct,Wrong,Correct,Wrong,Correct,Correct,Correct,Correct,Correct
participant_0123,Correct,Correct,Wrong,Correct,Correct,Wrong,Correct,Correct,Correct,Correct
participant_0124,Correct,Wrong,Wrong,Wrong,Correct,Correct,Correct,Correct,Correct,Wrong
participant_0125,Correct,Correct,Wrong,Correct,Correct,Correct,Correct,Correct,Correct,Correct
participant_0126,Correct,Correct,Wrong,Correct,Correct,Correct,Wrong,Wrong,Correct,Correct
participant_0127,Correct,Correct,Wrong,Correct,Correct,Correct,Wrong,Correct,Correct,Correct
participant_0128,Correct,Correct,Wrong,Correct,Correct,Correct,Correct,Correct,Correct,Correct
participant_0129,Correct,Wrong,Wrong,['Wrong' 'Correct'],Correct,Correct,Correct,Correct,Correct,Wrong
participant_0130,Correct,['Wrong' 'Correct'],Wrong,Correct,Correct,Wrong,Correct,Correct,Correct,['Wrong' 'Correct']
