user_id,filter_completed_users,filter_by_dataset_and_condition,filter_by_invalid_scores,filter_by_time,filter_by_missing_ml_kowledge,filter_by_negative_times,filter_by_fatal_understanding_error,remove_outliers_by_attention_check,filter_users_that_didnt_ask_questions_from_df
participant_0036,0,1,0,0,0,1,0,0,1
participant_0059,1,1,0,0,0,0,0,0,1
participant_0087,0,1,0,0,0,1,0,0,1
participant_0040,1,0,0,0,0,0,0,0,1
participant_0066,1,0,0,0,0,0,0,0,1
participant_0073,1,0,0,0,0,0,0,0,1
participant_0080,1,0,0,0,0,0,0,0,1
participant_0110,1,0,0,0,0,0,0,0,1
participant_0001,0,0,1,0,0,0,0,0,0
participant_0004,1,0,0,0,0,0,0,0,0
participant_0014,1,0,0,0,0,0,0,0,0
participant_0015,0,0,0,0,0,0,0,0,1
participant_0021,1,0,0,0,0,0,0,0,0
participant_0022,1,0,0,0,0,0,0,0,0
participant_0023,0,0,0,0,0,0,0,0,1
participant_0028,0,0,0,0,0,0,0,0,1
participant_0041,1,0,0,0,0,0,0,0,0
participant_0050,0,0,1,0,0,0,0,0,0
participant_0056,0,0,0,0,0,0,0,0,1
participant_0063,0,0,0,0,0,0,0,0,1
participant_0068,1,0,0,0,0,0,0,0,0
participant_0084,0,0,0,0,0,0,0,0,1
participant_0094,1,0,0,0,0,0,0,0,0
participant_0113,1,0,0,0,0,0,0,0,0
participant_0115,0,0,0,0,0,0,0,0,1
participant_0121,1,0,0,0,0,0,0,0,0
participant_0129,0,0,1,0,0,0,0,0,0
participant_0130,0,0,1,0,0,0,0,0,0
participant_0133,1,0,0,0,0,0,0,0,0
participant_0135,1,0,0,0,0,0,0,0,0
TOTAL: 30 unique users,17,3,4,0,0,2,0,0,15
