id,user_id,source,action,created_at,details
19517,participant_0043,final-test,handleNext,2024-04-15 12:44:26.182130,"{""datapoint_count_new"":2}"
19580,participant_0043,final-test,user_prediction,2024-04-15 12:45:12.510263,"{""datapoint_count"":2,""prediction"":""over 50k"",""true_label"":""over 50k"",""confidence_level"":""4"",""feedback"":""The person is 51 with high education, married, good occupation and works 45 hours""}"
19516,participant_0043,final-test,user_prediction,2024-04-15 12:44:26.004226,"{""datapoint_count"":1,""prediction"":""over 50k"",""true_label"":""under 50k"",""confidence_level"":""3"",""feedback"":""The person has high level education, is married, works 40 hours and has a good occupation""}"
19632,participant_0043,final-test,handleNext,2024-04-15 12:45:52.443450,"{""datapoint_count_new"":4}"
19582,participant_0043,final-test,handleNext,2024-04-15 12:45:12.652399,"{""datapoint_count_new"":3}"
19677,participant_0043,final-test,user_prediction,2024-04-15 12:46:41.593968,"{""datapoint_count"":4,""prediction"":""over 50k"",""true_label"":""under 50k"",""confidence_level"":""3"",""feedback"":""the person is 63, with good education and works 40 hours""}"
19710,participant_0043,final-test,user_prediction,2024-04-15 12:47:32.058687,"{""datapoint_count"":5,""prediction"":""under 50k"",""true_label"":""under 50k"",""confidence_level"":""3"",""feedback"":""the person is single, age 32 and has low occupation""}"
19730,participant_0043,final-test,user_prediction,2024-04-15 12:48:31.116693,"{""datapoint_count"":6,""prediction"":""over 50k"",""true_label"":""over 50k"",""confidence_level"":""4"",""feedback"":""the person is 46, with high education level, is married, works 45 hours and has major gain above 5k$""}"
19749,participant_0043,final-test,user_prediction,2024-04-15 12:49:22.331641,"{""datapoint_count"":7,""prediction"":""under 50k"",""true_label"":""under 50k"",""confidence_level"":""3"",""feedback"":""the person is 33, single and has a service job""}"
19765,participant_0043,final-test,handleNext,2024-04-15 12:49:52.613645,"{""datapoint_count_new"":9}"
19631,participant_0043,final-test,user_prediction,2024-04-15 12:45:52.279689,"{""datapoint_count"":3,""prediction"":""over 50k"",""true_label"":""over 50k"",""confidence_level"":""4"",""feedback"":""works 45 hours and has major gain above 5k$""}"
19678,participant_0043,final-test,handleNext,2024-04-15 12:46:41.773185,"{""datapoint_count_new"":5}"
19711,participant_0043,final-test,handleNext,2024-04-15 12:47:32.199448,"{""datapoint_count_new"":6}"
19731,participant_0043,final-test,handleNext,2024-04-15 12:48:33.331549,"{""datapoint_count_new"":7}"
19750,participant_0043,final-test,handleNext,2024-04-15 12:49:22.501542,"{""datapoint_count_new"":8}"
19787,participant_0043,final-test,handleNext,2024-04-15 12:50:37.544783,"{""datapoint_count_new"":10}"
19815,participant_0043,final-test,user_prediction,2024-04-15 12:51:27.958531,"{""datapoint_count"":10,""prediction"":""under 50k"",""true_label"":""under 50k"",""confidence_level"":""3"",""feedback"":""the person is 31, single and in a white collar occupation""}"
17946,participant_0043,intro-test,user_prediction,2024-04-15 12:25:23.038962,"{""datapoint_count"":1,""prediction"":""under 50k"",""true_label"":""under 50k"",""confidence_level"":""3""}"
17947,participant_0043,intro-test,handleNext,2024-04-15 12:25:23.121792,"{""datapoint_count_new"":2}"
17958,participant_0043,intro-test,user_prediction,2024-04-15 12:25:44.675158,"{""datapoint_count"":2,""prediction"":""over 50k"",""true_label"":""over 50k"",""confidence_level"":""4""}"
17959,participant_0043,intro-test,handleNext,2024-04-15 12:25:47.003964,"{""datapoint_count_new"":3}"
17967,participant_0043,intro-test,user_prediction,2024-04-15 12:26:03.801672,"{""datapoint_count"":3,""prediction"":""under 50k"",""true_label"":""over 50k"",""confidence_level"":""3""}"
17969,participant_0043,intro-test,handleNext,2024-04-15 12:26:03.934654,"{""datapoint_count_new"":4}"
17989,participant_0043,intro-test,handleNext,2024-04-15 12:26:38.879401,"{""datapoint_count_new"":5}"
18001,participant_0043,intro-test,user_prediction,2024-04-15 12:26:53.901738,"{""datapoint_count"":5,""prediction"":""under 50k"",""true_label"":""under 50k"",""confidence_level"":""3""}"
18026,participant_0043,intro-test,handleNext,2024-04-15 12:27:21.124652,"{""datapoint_count_new"":7}"
18040,participant_0043,intro-test,user_prediction,2024-04-15 12:27:40.816879,"{""datapoint_count"":7,""prediction"":""under 50k"",""true_label"":""under 50k"",""confidence_level"":""3""}"
17988,participant_0043,intro-test,user_prediction,2024-04-15 12:26:38.770282,"{""datapoint_count"":4,""prediction"":""under 50k"",""true_label"":""under 50k"",""confidence_level"":""3""}"
18002,participant_0043,intro-test,handleNext,2024-04-15 12:26:54.001622,"{""datapoint_count_new"":6}"
18025,participant_0043,intro-test,user_prediction,2024-04-15 12:27:21.001658,"{""datapoint_count"":6,""prediction"":""over 50k"",""true_label"":""over 50k"",""confidence_level"":""3""}"
18045,participant_0043,intro-test,handleNext,2024-04-15 12:27:44.241419,"{""datapoint_count_new"":8}"
18069,participant_0043,intro-test,handleNext,2024-04-15 12:28:03.123156,"{""datapoint_count_new"":9}"
18068,participant_0043,intro-test,user_prediction,2024-04-15 12:28:03.024544,"{""datapoint_count"":8,""prediction"":""under 50k"",""true_label"":""under 50k"",""confidence_level"":""4""}"
