Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,source_file
APPROVED,2025-02-20T10:13:38.188000Z,2025-02-20T10:34:03.681000Z,2025-02-20T10:34:04.464000Z,2025-02-20T10:34:04.374040Z,1226.0,1171,35,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,prolific_export_67b6ea6a7e11351b067eeef5.csv
APPROVED,2025-02-20T10:14:04.230000Z,2025-02-20T10:33:14.707000Z,2025-02-20T10:33:15.424000Z,2025-02-20T10:33:15.343037Z,1151.0,824,33,Male,White,United Kingdom,United Kingdom,Ireland,English,Yes,Full-Time,prolific_export_67b6ea6a7e11351b067eeef5.csv
RETURNED,2025-02-20T10:25:47.981000Z,,,2025-02-23T22:26:56.981133Z,,21,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,prolific_export_67b6ea6a7e11351b067eeef5.csv
APPROVED,2025-02-20T10:20:29.372000Z,2025-02-20T10:42:01.630000Z,2025-02-20T10:42:02.376000Z,2025-02-20T10:42:02.290239Z,1293.0,8,29,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,prolific_export_67b6ea6a7e11351b067eeef5.csv
APPROVED,2025-02-20T10:28:16.737000Z,2025-02-20T11:18:55.462000Z,2025-02-20T11:18:56.448000Z,2025-02-20T11:18:56.366944Z,3039.0,2318,31,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED,prolific_export_67b6ea6a7e11351b067eeef5.csv
APPROVED,2025-02-20T10:21:51.599000Z,2025-02-20T10:56:18.157000Z,2025-02-20T10:56:18.844000Z,2025-02-20T10:56:18.788269Z,2067.0,434,46,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED,prolific_export_67b6ea6a7e11351b067eeef5.csv
APPROVED,2025-02-20T10:22:52.079000Z,2025-02-20T10:49:53.616000Z,2025-02-20T10:49:54.326000Z,2025-02-20T10:49:54.227356Z,1622.0,990,27,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,prolific_export_67b6ea6a7e11351b067eeef5.csv
APPROVED,2025-02-20T11:49:34.488000Z,2025-02-20T12:26:29.074000Z,2025-02-20T12:26:30.121000Z,2025-02-20T12:26:30.055771Z,2215.0,0,51,Female,White,Australia,Australia,Australia,English,DATA_EXPIRED,DATA_EXPIRED,prolific_export_67b6ea6a7e11351b067eeef5.csv
APPROVED,2025-02-20T11:51:24.923000Z,2025-02-20T13:15:04.292000Z,2025-02-20T13:15:04.995000Z,2025-02-20T13:15:05.190012Z,5020.0,2001,36,Female,White,United States,United States,United States,English,No,Part-Time,prolific_export_67b6ea6a7e11351b067eeef5.csv
APPROVED,2025-02-20T11:51:28.095000Z,2025-02-20T12:12:48.168000Z,2025-02-20T12:12:48.782000Z,2025-02-20T12:12:48.715727Z,1281.0,353,33,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,Full-Time,prolific_export_67b6ea6a7e11351b067eeef5.csv
