id,created_at,profile,study_group,logs,questionnaires,feedback,completed
participant_0094,2024-04-11 17:10:52.953539,"{""fam_ml_val"":""2"",""experiment_start"":""2024-04-11T17:08:18.387Z""}",static,{},{},{},False
participant_0011,2024-04-11 17:13:21.654047,"{""fam_ml_val"":""2"",""experiment_start"":""2024-04-11T17:12:57.317Z""}",static,{},{},{},False
participant_0109,2025-02-20 16:38:55.257575,"{""fam_ml_val"":""1"",""experiment_start"":""2025-02-20T16:33:27.052Z""}",interactive,{},"[{}, '{""self_assessment"":{""questions"":[""I understand the important attributes for a decision."",""I cannot distinguish between the possible prediction."",""I understand how the Machine Learning model works."",""Select \\""Strongly Disagree\\"" for this selection."",""I did not understand how the Machine Learning model makes decisions.""],""answers"":[1,-1,1,-2,-1]}}', '{""understanding"":{""questions"":[""1. The model made predictions based on the data it was trained with. In this data, each person was captured by certain attributes. Which attribute was often the <b>most important</b> for the model’s decision?"",""2. Which attribute was never the <b>least important</b> for the model’s decision, but taken into account for the prediction?The model looked at this attribute to make the prediction but it had usually no influence."",""3. What <b>rules</b> do you think the model uses to <b>decide between\\n                individuals</b> earning over 50k and under 50k? While the model uses complex patterns, what rules or patterns could you spot?"",""4. (Optional) Is there anything <b>surprising or unexpected</b> you found in the model? Or something you <b>did not understand</b> despite the explanations?""],""answers"":[""maritalStatus"",""workLifeBalance"",""I think the model uses investment outcome, age and marital status to determine the salary in combination with the number of working hours."",""I was surprised to find that the occupation did not play as much of an important role in determining salaries as I would have expected, for example blue collar employees with investments or who are married were predicted to have over 50k which I did not expect""]}}', '{""exit"":{""questions"":[""The chatbot is cooperative."",""I like the chatbot."",""While explaining, the chatbot met me halfway."",""The chatbot has no clue of what it is doing."",""The chatbot intended to provide me with the opportunity to build an understanding of the topic by asking questions."",""The chatbot encouraged me to continuously think about further details of the topic."",""The chatbot always gives good advice."",""The chatbot can collaborate in a productive way."",""The chatbot considered my understanding."",""The chatbot acts truthfully."",""The chatbots appears confused."",""While explaining, it was important for the chatbot to monitor whether I understood everything."",""The chatbot responded when I signaled non-understanding."",""The chatbot interacts socially with me."",""The chatbot took my statements into account."",""The chatbot acts intentionally"",""I can see myself using the chatbot in the future."",""When finishing to read this sentence, select Strongly Disagree to prove that you pay attention."",""When learning about a new topic, it’s better to think about details yourself, rather than having everything fully explained."",""While explaining, it was important for the chatbot to continuously consider whether I understood the explanation."",""The chatbot encouraged me to visualize the different processes of the topic."",""I can rely on the chatbot."",""The chatbot is easy to use."",""The explanation was meant to encourage me to question my understanding."",""The chatbot carefully adapted its utterances to my responses.""],""answers"":[2,3,0,-3,2,1,2,1,3,0,-3,0,-2,-2,0,0,2,-3,-1,0,0,2,3,1,0]}}']","[{}, '{""timestamp"":""2025-02-20T17:26:03.591Z"",""feedback"":""""}']",True
participant_0032,2025-02-20 10:15:26.188764,"{""fam_ml_val"":""1"",""experiment_start"":""2025-02-20T10:14:08.050Z""}",interactive,{},"[{}, '{""self_assessment"":{""questions"":[""I understand the important attributes for a decision."",""I cannot distinguish between the possible prediction."",""I understand how the Machine Learning model works."",""Select \\""Strongly Disagree\\"" for this selection."",""I did not understand how the Machine Learning model makes decisions.""],""answers"":[1,-1,1,-2,-1]}}', '{""understanding"":{""questions"":[""1. The model made predictions based on the data it was trained with. In this data, each person was captured by certain attributes. Which attribute was often the <b>most important</b> for the model’s decision?"",""2. Which attribute was never the <b>least important</b> for the model’s decision, but taken into account for the prediction?The model looked at this attribute to make the prediction but it had usually no influence."",""3. What <b>rules</b> do you think the model uses to <b>decide between\\n                individuals</b> earning over 50k and under 50k? While the model uses complex patterns, what rules or patterns could you spot?"",""4. (Optional) Is there anything <b>surprising or unexpected</b> you found in the model? Or something you <b>did not understand</b> despite the explanations?""],""answers"":[""age"",""maritalStatus"",""Higher working hours and particular occupations"",""""]}}', '{""exit"":{""questions"":[""The chatbot is cooperative."",""I like the chatbot."",""While explaining, the chatbot met me halfway."",""The chatbot has no clue of what it is doing."",""The chatbot intended to provide me with the opportunity to build an understanding of the topic by asking questions."",""The chatbot encouraged me to continuously think about further details of the topic."",""The chatbot always gives good advice."",""The chatbot can collaborate in a productive way."",""The chatbot considered my understanding."",""The chatbot acts truthfully."",""The chatbots appears confused."",""While explaining, it was important for the chatbot to monitor whether I understood everything."",""The chatbot responded when I signaled non-understanding."",""The chatbot interacts socially with me."",""The chatbot took my statements into account."",""The chatbot acts intentionally"",""I can see myself using the chatbot in the future."",""When finishing to read this sentence, select Strongly Disagree to prove that you pay attention."",""When learning about a new topic, it’s better to think about details yourself, rather than having everything fully explained."",""While explaining, it was important for the chatbot to continuously consider whether I understood the explanation."",""The chatbot encouraged me to visualize the different processes of the topic."",""I can rely on the chatbot."",""The chatbot is easy to use."",""The explanation was meant to encourage me to question my understanding."",""The chatbot carefully adapted its utterances to my responses.""],""answers"":[1,1,1,-1,2,2,1,1,0,0,-1,0,0,0,1,0,-1,-3,1,0,1,1,2,0,-1]}}']","[{}, '{""timestamp"":""2025-02-20T10:33:09.286Z"",""feedback"":""""}']",True
participant_0018,2025-02-20 10:15:31.646582,"{""fam_ml_val"":""2"",""experiment_start"":""2025-02-20T10:13:43.108Z""}",interactive,{},"[{}, '{""self_assessment"":{""questions"":[""I understand the important attributes for a decision."",""I cannot distinguish between the possible prediction."",""I understand how the Machine Learning model works."",""Select \\""Strongly Disagree\\"" for this selection."",""I did not understand how the Machine Learning model makes decisions.""],""answers"":[1,-1,1,-2,-1]}}', '{""understanding"":{""questions"":[""1. The model made predictions based on the data it was trained with. In this data, each person was captured by certain attributes. Which attribute was often the <b>most important</b> for the model’s decision?"",""2. Which attribute was never the <b>least important</b> for the model’s decision, but taken into account for the prediction?The model looked at this attribute to make the prediction but it had usually no influence."",""3. What <b>rules</b> do you think the model uses to <b>decide between\\n                individuals</b> earning over 50k and under 50k? While the model uses complex patterns, what rules or patterns could you spot?"",""4. (Optional) Is there anything <b>surprising or unexpected</b> you found in the model? Or something you <b>did not understand</b> despite the explanations?""],""answers"":[""age"",""maritalStatus"",""I believe model uses education age and type of job to decide individuals earning over 50k and under 50k"",""""]}}', '{""exit"":{""questions"":[""The chatbot is cooperative."",""I like the chatbot."",""While explaining, the chatbot met me halfway."",""The chatbot has no clue of what it is doing."",""The chatbot intended to provide me with the opportunity to build an understanding of the topic by asking questions."",""The chatbot encouraged me to continuously think about further details of the topic."",""The chatbot always gives good advice."",""The chatbot can collaborate in a productive way."",""The chatbot considered my understanding."",""The chatbot acts truthfully."",""The chatbots appears confused."",""While explaining, it was important for the chatbot to monitor whether I understood everything."",""The chatbot responded when I signaled non-understanding."",""The chatbot interacts socially with me."",""The chatbot took my statements into account."",""The chatbot acts intentionally"",""I can see myself using the chatbot in the future."",""When finishing to read this sentence, select Strongly Disagree to prove that you pay attention."",""When learning about a new topic, it’s better to think about details yourself, rather than having everything fully explained."",""While explaining, it was important for the chatbot to continuously consider whether I understood the explanation."",""The chatbot encouraged me to visualize the different processes of the topic."",""I can rely on the chatbot."",""The chatbot is easy to use."",""The explanation was meant to encourage me to question my understanding."",""The chatbot carefully adapted its utterances to my responses.""],""answers"":[0,1,0,0,1,0,0,1,0,0,-2,0,0,0,0,0,0,-3,1,-1,0,0,2,1,0]}}']","[{}, '{""timestamp"":""2025-02-20T10:33:59.223Z"",""feedback"":""""}']",True
participant_0043,2024-04-15 12:23:53.045323,"{""fam_ml_val"":""2"",""experiment_start"":""2024-04-15T12:18:16.011Z""}",static,{},"[{}, '{""question_ranking"":{""questions"":[{""id"":23,""question"":"" Which attributes have the <b>biggest</b> impact on the model’s prediction for the current person?""},{""id"":27,""question"":"" Which attributes have the <b>smallest</b> impact on the model’s prediction for the current person?""},{""id"":24,""question"":"" What is the <b>strength</b> of each attribute for the current model prediction? ""},{""id"":7,""question"":"" To <b>switch the model’s prediction</b>, which attributes would need to be different?""},{""id"":11,""question"":""Which group of attributes <b>most definitely predicts the current outcome</b> independently of the other attributes?""},{""id"":25,""question"":"" What happens if the <b>value</b> of this feature <b>is changed</b>, keeping all the other attributes the same?""},{""id"":13,""question"":"" How are the different values of this feature <b>distributed</b> in the dataset?""}],""answers"":[1,2,4,3,5,"""",""""]}}', '{""self_assessment"":{""questions"":[""I understand the important attributes for a decision."",""I cannot distinguish between the possible prediction."",""I understand how the Machine Learning model works."",""Select \\""Strongly Disagree\\"" for this selection."",""I did not understand how the Machine Learning model makes decisions.""],""answers"":[2,-2,1,-2,-2]}}', '{""exit"":{""questions"":[""The explanation report is coherent."",""I find the explanation report useful."",""The explanation report is clear and understandable."",""The explanation report provides insightful information."",""The explanation report supports productive insights."",""The information in the report is presented accurately."",""The explanation report seems confusing."",""The explanation report is engaging."",""I pay attention. Select -1 to prove it."",""The explanation report presents information purposefully."",""I can see myself referring to this type of explanation report in the future."",""I can rely on the information provided in the explanation report."",""The explanation report is easy to navigate and understand.""],""answers"":[3,3,3,3,3,3,-3,3,-1,3,3,3,3]}}']","[{}, '{""timestamp"":""2024-04-15T12:54:01.762Z"",""feedback"":""good study""}']",True
participant_0026,2025-02-20 10:23:03.102314,"{""fam_ml_val"":""2"",""experiment_start"":""2025-02-20T10:20:35.954Z""}",interactive,{},"[{}, '{""self_assessment"":{""questions"":[""I understand the important attributes for a decision."",""I cannot distinguish between the possible prediction."",""I understand how the Machine Learning model works."",""Select \\""Strongly Disagree\\"" for this selection."",""I did not understand how the Machine Learning model makes decisions.""],""answers"":[1,-1,1,-2,-1]}}', '{""understanding"":{""questions"":[""1. The model made predictions based on the data it was trained with. In this data, each person was captured by certain attributes. Which attribute was often the <b>most important</b> for the model’s decision?"",""2. Which attribute was never the <b>least important</b> for the model’s decision, but taken into account for the prediction?The model looked at this attribute to make the prediction but it had usually no influence."",""3. What <b>rules</b> do you think the model uses to <b>decide between\\n                individuals</b> earning over 50k and under 50k? While the model uses complex patterns, what rules or patterns could you spot?"",""4. (Optional) Is there anything <b>surprising or unexpected</b> you found in the model? Or something you <b>did not understand</b> despite the explanations?""],""answers"":[""age"",""maritalStatus"",""I think the model uses age, investments and education level as the primary drivers."",""""]}}', '{""exit"":{""questions"":[""The chatbot is cooperative."",""I like the chatbot."",""While explaining, the chatbot met me halfway."",""The chatbot has no clue of what it is doing."",""The chatbot intended to provide me with the opportunity to build an understanding of the topic by asking questions."",""The chatbot encouraged me to continuously think about further details of the topic."",""The chatbot always gives good advice."",""The chatbot can collaborate in a productive way."",""The chatbot considered my understanding."",""The chatbot acts truthfully."",""The chatbots appears confused."",""While explaining, it was important for the chatbot to monitor whether I understood everything."",""The chatbot responded when I signaled non-understanding."",""The chatbot interacts socially with me."",""The chatbot took my statements into account."",""The chatbot acts intentionally"",""I can see myself using the chatbot in the future."",""When finishing to read this sentence, select Strongly Disagree to prove that you pay attention."",""When learning about a new topic, it’s better to think about details yourself, rather than having everything fully explained."",""While explaining, it was important for the chatbot to continuously consider whether I understood the explanation."",""The chatbot encouraged me to visualize the different processes of the topic."",""I can rely on the chatbot."",""The chatbot is easy to use."",""The explanation was meant to encourage me to question my understanding."",""The chatbot carefully adapted its utterances to my responses.""],""answers"":[1,-1,1,-2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]}}']","[{}, '{""timestamp"":""2025-02-20T10:41:57.555Z"",""feedback"":""""}']",True
participant_0014,2025-02-20 13:07:06.504021,"{""fam_ml_val"":""2"",""experiment_start"":""2025-02-20T13:04:47.432Z""}",interactive,{},"[{}, '{""self_assessment"":{""questions"":[""I understand the important attributes for a decision."",""I cannot distinguish between the possible prediction."",""I understand how the Machine Learning model works."",""Select \\""Strongly Disagree\\"" for this selection."",""I did not understand how the Machine Learning model makes decisions.""],""answers"":[1,-1,1,-2,-1]}}', '{""understanding"":{""questions"":[""1. The model made predictions based on the data it was trained with. In this data, each person was captured by certain attributes. Which attribute was often the <b>most important</b> for the model’s decision?"",""2. Which attribute was never the <b>least important</b> for the model’s decision, but taken into account for the prediction?The model looked at this attribute to make the prediction but it had usually no influence."",""3. What <b>rules</b> do you think the model uses to <b>decide between\\n                individuals</b> earning over 50k and under 50k? While the model uses complex patterns, what rules or patterns could you spot?"",""4. (Optional) Is there anything <b>surprising or unexpected</b> you found in the model? Or something you <b>did not understand</b> despite the explanations?""],""answers"":[""maritalStatus"",""age"",""married and older usually were over. Degree educated and good job also over. Younger people were generally under 50k and also people with low working hours"",""it gave a lot of weight to marital status. I felt this didnt make sense as it was an individuals earnings""]}}', '{""exit"":{""questions"":[""The chatbot is cooperative."",""I like the chatbot."",""While explaining, the chatbot met me halfway."",""The chatbot has no clue of what it is doing."",""The chatbot intended to provide me with the opportunity to build an understanding of the topic by asking questions."",""The chatbot encouraged me to continuously think about further details of the topic."",""The chatbot always gives good advice."",""The chatbot can collaborate in a productive way."",""The chatbot considered my understanding."",""The chatbot acts truthfully."",""The chatbots appears confused."",""While explaining, it was important for the chatbot to monitor whether I understood everything."",""The chatbot responded when I signaled non-understanding."",""The chatbot interacts socially with me."",""The chatbot took my statements into account."",""The chatbot acts intentionally"",""I can see myself using the chatbot in the future."",""When finishing to read this sentence, select Strongly Disagree to prove that you pay attention."",""When learning about a new topic, it’s better to think about details yourself, rather than having everything fully explained."",""While explaining, it was important for the chatbot to continuously consider whether I understood the explanation."",""The chatbot encouraged me to visualize the different processes of the topic."",""I can rely on the chatbot."",""The chatbot is easy to use."",""The explanation was meant to encourage me to question my understanding."",""The chatbot carefully adapted its utterances to my responses.""],""answers"":[-1,-1,-2,-2,3,2,1,1,-3,1,-1,1,-2,-3,-1,1,-2,-3,-1,1,1,1,1,2,1]}}']","[{}, '{""timestamp"":""2025-02-20T13:27:28.709Z"",""feedback"":""""}']",True
participant_0021,2025-02-20 10:27:34.018409,"{""fam_ml_val"":""3"",""experiment_start"":""2025-02-20T10:22:56.312Z""}",interactive,{},"[{}, '{""self_assessment"":{""questions"":[""I understand the important attributes for a decision."",""I cannot distinguish between the possible prediction."",""I understand how the Machine Learning model works."",""Select \\""Strongly Disagree\\"" for this selection."",""I did not understand how the Machine Learning model makes decisions.""],""answers"":[2,-2,2,-2,-2]}}', '{""understanding"":{""questions"":[""1. The model made predictions based on the data it was trained with. In this data, each person was captured by certain attributes. Which attribute was often the <b>most important</b> for the model’s decision?"",""2. Which attribute was never the <b>least important</b> for the model’s decision, but taken into account for the prediction?The model looked at this attribute to make the prediction but it had usually no influence."",""3. What <b>rules</b> do you think the model uses to <b>decide between\\n                individuals</b> earning over 50k and under 50k? While the model uses complex patterns, what rules or patterns could you spot?"",""4. (Optional) Is there anything <b>surprising or unexpected</b> you found in the model? Or something you <b>did not understand</b> despite the explanations?""],""answers"":[""maritalStatus"",""workLifeBalance"",""I found the model uses the investment field more than anything to decide between individuals"",""""]}}', '{""exit"":{""questions"":[""The chatbot is cooperative."",""I like the chatbot."",""While explaining, the chatbot met me halfway."",""The chatbot has no clue of what it is doing."",""The chatbot intended to provide me with the opportunity to build an understanding of the topic by asking questions."",""The chatbot encouraged me to continuously think about further details of the topic."",""The chatbot always gives good advice."",""The chatbot can collaborate in a productive way."",""The chatbot considered my understanding."",""The chatbot acts truthfully."",""The chatbots appears confused."",""While explaining, it was important for the chatbot to monitor whether I understood everything."",""The chatbot responded when I signaled non-understanding."",""The chatbot interacts socially with me."",""The chatbot took my statements into account."",""The chatbot acts intentionally"",""I can see myself using the chatbot in the future."",""When finishing to read this sentence, select Strongly Disagree to prove that you pay attention."",""When learning about a new topic, it’s better to think about details yourself, rather than having everything fully explained."",""While explaining, it was important for the chatbot to continuously consider whether I understood the explanation."",""The chatbot encouraged me to visualize the different processes of the topic."",""I can rely on the chatbot."",""The chatbot is easy to use."",""The explanation was meant to encourage me to question my understanding."",""The chatbot carefully adapted its utterances to my responses.""],""answers"":[2,2,1,-2,0,0,1,2,0,1,-1,1,-2,-1,-1,-1,1,-3,-2,-1,-1,0,1,1,1]}}']","[{}, '{""timestamp"":""2025-02-20T10:49:49.548Z"",""feedback"":""""}']",True
participant_0025,2025-02-20 10:26:20.286219,"{""fam_ml_val"":""1"",""experiment_start"":""2025-02-20T10:21:57.495Z""}",interactive,{},"[{}, '{""self_assessment"":{""questions"":[""I understand the important attributes for a decision."",""I cannot distinguish between the possible prediction."",""I understand how the Machine Learning model works."",""Select \\""Strongly Disagree\\"" for this selection."",""I did not understand how the Machine Learning model makes decisions.""],""answers"":[2,0,2,-2,-2]}}', '{""understanding"":{""questions"":[""1. The model made predictions based on the data it was trained with. In this data, each person was captured by certain attributes. Which attribute was often the <b>most important</b> for the model’s decision?"",""2. Which attribute was never the <b>least important</b> for the model’s decision, but taken into account for the prediction?The model looked at this attribute to make the prediction but it had usually no influence."",""3. What <b>rules</b> do you think the model uses to <b>decide between\\n                individuals</b> earning over 50k and under 50k? While the model uses complex patterns, what rules or patterns could you spot?"",""4. (Optional) Is there anything <b>surprising or unexpected</b> you found in the model? Or something you <b>did not understand</b> despite the explanations?""],""answers"":[""maritalStatus"",""maritalStatus"",""I think the models score the different attributes then calculate a score"",""""]}}', '{""exit"":{""questions"":[""The chatbot is cooperative."",""I like the chatbot."",""While explaining, the chatbot met me halfway."",""The chatbot has no clue of what it is doing."",""The chatbot intended to provide me with the opportunity to build an understanding of the topic by asking questions."",""The chatbot encouraged me to continuously think about further details of the topic."",""The chatbot always gives good advice."",""The chatbot can collaborate in a productive way."",""The chatbot considered my understanding."",""The chatbot acts truthfully."",""The chatbots appears confused."",""While explaining, it was important for the chatbot to monitor whether I understood everything."",""The chatbot responded when I signaled non-understanding."",""The chatbot interacts socially with me."",""The chatbot took my statements into account."",""The chatbot acts intentionally"",""I can see myself using the chatbot in the future."",""When finishing to read this sentence, select Strongly Disagree to prove that you pay attention."",""When learning about a new topic, it’s better to think about details yourself, rather than having everything fully explained."",""While explaining, it was important for the chatbot to continuously consider whether I understood the explanation."",""The chatbot encouraged me to visualize the different processes of the topic."",""I can rely on the chatbot."",""The chatbot is easy to use."",""The explanation was meant to encourage me to question my understanding."",""The chatbot carefully adapted its utterances to my responses.""],""answers"":[2,3,-1,-2,2,2,2,1,-1,0,-1,-1,1,-3,-1,-3,0,-3,1,1,2,1,0,1,1]}}']","[{}, '{""timestamp"":""2025-02-20T10:56:11.038Z"",""feedback"":""""}']",True
