id,user_id,source,action,created_at,datapoint_count_new,datapoint_count,prediction,true_label,confidence_level,feedback,question,question_id,message,buttonType,user_comment,user_question,feature_id
19517,participant_0043,final-test,handleNext,2024-04-15 12:44:26.182130,2.0,,,,,,,,,,,,
19580,participant_0043,final-test,user_prediction,2024-04-15 12:45:12.510263,,2.0,over 50k,over 50k,4,"The person is 51 with high education, married, good occupation and works 45 hours",,,,,,,
19516,participant_0043,final-test,user_prediction,2024-04-15 12:44:26.004226,,1.0,over 50k,under 50k,3,"The person has high level education, is married, works 40 hours and has a good occupation",,,,,,,
19632,participant_0043,final-test,handleNext,2024-04-15 12:45:52.443450,4.0,,,,,,,,,,,,
19582,participant_0043,final-test,handleNext,2024-04-15 12:45:12.652399,3.0,,,,,,,,,,,,
19677,participant_0043,final-test,user_prediction,2024-04-15 12:46:41.593968,,4.0,over 50k,under 50k,3,"the person is 63, with good education and works 40 hours",,,,,,,
19710,participant_0043,final-test,user_prediction,2024-04-15 12:47:32.058687,,5.0,under 50k,under 50k,3,"the person is single, age 32 and has low occupation",,,,,,,
19730,participant_0043,final-test,user_prediction,2024-04-15 12:48:31.116693,,6.0,over 50k,over 50k,4,"the person is 46, with high education level, is married, works 45 hours and has major gain above 5k$",,,,,,,
19749,participant_0043,final-test,user_prediction,2024-04-15 12:49:22.331641,,7.0,under 50k,under 50k,3,"the person is 33, single and has a service job",,,,,,,
19765,participant_0043,final-test,handleNext,2024-04-15 12:49:52.613645,9.0,,,,,,,,,,,,
19631,participant_0043,final-test,user_prediction,2024-04-15 12:45:52.279689,,3.0,over 50k,over 50k,4,works 45 hours and has major gain above 5k$,,,,,,,
19678,participant_0043,final-test,handleNext,2024-04-15 12:46:41.773185,5.0,,,,,,,,,,,,
19711,participant_0043,final-test,handleNext,2024-04-15 12:47:32.199448,6.0,,,,,,,,,,,,
19731,participant_0043,final-test,handleNext,2024-04-15 12:48:33.331549,7.0,,,,,,,,,,,,
19750,participant_0043,final-test,handleNext,2024-04-15 12:49:22.501542,8.0,,,,,,,,,,,,
19787,participant_0043,final-test,handleNext,2024-04-15 12:50:37.544783,10.0,,,,,,,,,,,,
19815,participant_0043,final-test,user_prediction,2024-04-15 12:51:27.958531,,10.0,under 50k,under 50k,3,"the person is 31, single and in a white collar occupation",,,,,,,
17946,participant_0043,intro-test,user_prediction,2024-04-15 12:25:23.038962,,1.0,under 50k,under 50k,3,,,,,,,,
17947,participant_0043,intro-test,handleNext,2024-04-15 12:25:23.121792,2.0,,,,,,,,,,,,
17958,participant_0043,intro-test,user_prediction,2024-04-15 12:25:44.675158,,2.0,over 50k,over 50k,4,,,,,,,,
