id,user_id,source,action,created_at,datapoint_count,question,question_id,typed_question,feature_id,text,reasoning
52775,participant_0109,teaching,question,2025-02-20 16:48:16.378061,1,Which attributes have the <b>biggest</b> impact on the model’s prediction <b>for this person</b>?,top3Features,,,,
52783,participant_0109,teaching,question,2025-02-20 16:49:20.952943,1,Does the <b>prediction of the current person change</b> if only <b>Weekly Working Hours</b> was different?,ceterisParibus,,,,
52785,participant_0109,teaching,question,2025-02-20 16:50:03.542803,1,Why do most important factors change?,followupWhyFeatureImportancesChange,,,,
52786,participant_0109,teaching,question,2025-02-20 16:50:26.720655,1,How <b>confident</b> is the model in the prediction <b>for this person</b>?,modelConfidence,,,,
52780,participant_0109,teaching,question,2025-02-20 16:49:03.091503,1,"To <b>change the model’s prediction</b>, which attributes would need to be different?",counterfactualAnyChange,,,,
52782,participant_0109,teaching,question,2025-02-20 16:49:20.928797,1,Does the <b>prediction of the current person change</b> if only <b>Weekly Working Hours</b> was different?,ceterisParibus,,,,
52784,participant_0109,teaching,question,2025-02-20 16:49:43.064519,1,What is the <b>strength</b> of each attribute for the <b>this model prediction</b>?,shapAllFeatures,,,,
52787,participant_0109,teaching,question,2025-02-20 16:50:32.780174,1,Which attributes have the <b>smallest</b> impact on the model’s prediction <b>for this person</b>?,least3Features,,,,
52792,participant_0109,teaching,question,2025-02-20 16:52:14.009744,2,Which attributes have the <b>biggest</b> impact on the model’s prediction <b>for this person</b>?,top3Features,,,,
52794,participant_0109,teaching,question,2025-02-20 16:52:31.611885,2,Which <b>group of attributes</b> is most important for <b>for this person</b>?,anchor,,,,
52796,participant_0109,teaching,question,2025-02-20 16:53:03.347365,2,What is the <b>strength</b> of each attribute for the <b>this model prediction</b>?,shapAllFeatures,,,,
52793,participant_0109,teaching,question,2025-02-20 16:52:27.762062,2,How <b>confident</b> is the model in the prediction <b>for this person</b>?,modelConfidence,,,,
52795,participant_0109,teaching,question,2025-02-20 16:52:54.342585,2,"To <b>change the model’s prediction</b>, which attributes would need to be different?",counterfactualAnyChange,,,,
52801,participant_0109,teaching,question,2025-02-20 16:55:42.668183,3,Which <b>group of attributes</b> is most important for <b>for this person</b>?,anchor,,,,
52807,participant_0109,teaching,question,2025-02-20 16:57:16.467289,4,Which attributes have the <b>biggest</b> impact on the model’s prediction <b>for this person</b>?,top3Features,,,,
52809,participant_0109,teaching,question,2025-02-20 16:57:42.765278,4,Which <b>group of attributes</b> is most important for <b>for this person</b>?,anchor,,,,
52815,participant_0109,teaching,question,2025-02-20 16:59:14.541432,5,What is the <b>strength</b> of each attribute for the <b>this model prediction</b>?,shapAllFeatures,,,,
52821,participant_0109,teaching,question,2025-02-20 16:59:59.354375,6,Which attributes have the <b>biggest</b> impact on the model’s prediction <b>for this person</b>?,top3Features,,,,
52802,participant_0109,teaching,question,2025-02-20 16:56:09.578849,3,Which attributes have the <b>biggest</b> impact on the model’s prediction <b>for this person</b>?,top3Features,,,,
52808,participant_0109,teaching,question,2025-02-20 16:57:26.417784,4,How <b>confident</b> is the model in the prediction <b>for this person</b>?,modelConfidence,,,,
52814,participant_0109,teaching,question,2025-02-20 16:59:10.062135,5,How <b>confident</b> is the model in the prediction <b>for this person</b>?,modelConfidence,,,,
52816,participant_0109,teaching,question,2025-02-20 16:59:29.765640,5,Which attributes have the <b>biggest</b> impact on the model’s prediction <b>for this person</b>?,top3Features,,,,
42666,participant_0032,teaching,question,2025-02-20 10:18:11.335287,1,Which attributes have the <b>biggest</b> impact on the model’s prediction <b>for this person</b>?,top3Features,,,,
42672,participant_0032,teaching,question,2025-02-20 10:18:45.777447,1,"To <b>change the model’s prediction</b>, which attributes would need to be different?",counterfactualAnyChange,,,,
42677,participant_0032,teaching,question,2025-02-20 10:19:14.079111,2,"To <b>change the model’s prediction</b>, which attributes would need to be different?",counterfactualAnyChange,,,,
42679,participant_0032,teaching,question,2025-02-20 10:19:18.539257,2,Does the <b>prediction of the current person change</b> if only <b>Occupation</b> was different?,ceterisParibus,,,,
42680,participant_0032,teaching,question,2025-02-20 10:19:18.562661,2,Does the <b>prediction of the current person change</b> if only <b>Occupation</b> was different?,ceterisParibus,,,,
42688,participant_0032,teaching,question,2025-02-20 10:19:42.490223,3,Which <b>group of attributes</b> is most important for <b>for this person</b>?,anchor,,,,
42689,participant_0032,teaching,question,2025-02-20 10:19:45.385156,3,What is the <b>strength</b> of each attribute for the <b>this model prediction</b>?,shapAllFeatures,,,,
42700,participant_0032,teaching,question,2025-02-20 10:20:10.666597,4,What is the <b>strength</b> of each attribute for the <b>this model prediction</b>?,shapAllFeatures,,,,
42701,participant_0032,teaching,question,2025-02-20 10:20:12.366923,4,How <b>confident</b> is the model in the prediction <b>for this person</b>?,modelConfidence,,,,
42710,participant_0032,teaching,question,2025-02-20 10:20:35.569523,5,Does the <b>prediction of the current person change</b> if only <b>Occupation</b> was different?,ceterisParibus,,,,
42714,participant_0032,teaching,question,2025-02-20 10:20:44.206910,5,How are the different values of <b>Work Life Balance</b> <b>distributed</b> in the dataset?,featureStatistics,,,,
42734,participant_0032,teaching,question,2025-02-20 10:21:27.670082,7,Does the <b>prediction of the current person change</b> if only <b>Marital Status</b> was different?,ceterisParibus,,,,
42736,participant_0032,teaching,question,2025-02-20 10:21:32.917374,7,How are the different values of <b>Occupation</b> <b>distributed</b> in the dataset?,featureStatistics,,,,
42744,participant_0032,teaching,question,2025-02-20 10:21:54.287459,8,"To <b>change the model’s prediction</b>, which attributes would need to be different?",counterfactualAnyChange,,,,
42764,participant_0032,teaching,question,2025-02-20 10:22:39.457437,10,How <b>confident</b> is the model in the prediction <b>for this person</b>?,modelConfidence,,,,
42709,participant_0032,teaching,question,2025-02-20 10:20:35.567579,5,Does the <b>prediction of the current person change</b> if only <b>Occupation</b> was different?,ceterisParibus,,,,
42713,participant_0032,teaching,question,2025-02-20 10:20:44.205666,5,How are the different values of <b>Work Life Balance</b> <b>distributed</b> in the dataset?,featureStatistics,,,,
42723,participant_0032,teaching,question,2025-02-20 10:21:02.032497,6,How <b>confident</b> is the model in the prediction <b>for this person</b>?,modelConfidence,,,,
42725,participant_0032,teaching,question,2025-02-20 10:21:07.280001,6,Which attributes have the <b>biggest</b> impact on the model’s prediction <b>for this person</b>?,top3Features,,,,
42735,participant_0032,teaching,question,2025-02-20 10:21:27.671445,7,Does the <b>prediction of the current person change</b> if only <b>Marital Status</b> was different?,ceterisParibus,,,,
42737,participant_0032,teaching,question,2025-02-20 10:21:32.918765,7,How are the different values of <b>Occupation</b> <b>distributed</b> in the dataset?,featureStatistics,,,,
42745,participant_0032,teaching,question,2025-02-20 10:21:55.845618,8,Which <b>group of attributes</b> is most important for <b>for this person</b>?,anchor,,,,
42753,participant_0032,teaching,question,2025-02-20 10:22:13.804481,9,How <b>confident</b> is the model in the prediction <b>for this person</b>?,modelConfidence,,,,
42755,participant_0032,teaching,question,2025-02-20 10:22:16.671362,9,Which attributes have the <b>smallest</b> impact on the model’s prediction <b>for this person</b>?,least3Features,,,,
42763,participant_0032,teaching,question,2025-02-20 10:22:32.736018,10,"To <b>change the model’s prediction</b>, which attributes would need to be different?",counterfactualAnyChange,,,,
42678,participant_0018,teaching,question,2025-02-20 10:19:14.909246,1,What is the <b>strength</b> of each attribute for the <b>this model prediction</b>?,shapAllFeatures,,,,
42681,participant_0018,teaching,question,2025-02-20 10:19:22.889613,1,Does the <b>prediction of the current person change</b> if only <b>Marital Status</b> was different?,ceterisParibus,,,,
42682,participant_0018,teaching,question,2025-02-20 10:19:22.891223,1,Does the <b>prediction of the current person change</b> if only <b>Marital Status</b> was different?,ceterisParibus,,,,
